Abbreviated source title,Abstract,Access type,Accession number,Article number,Author,Author affiliation,CODEN,Classification code,Conference code,Conference date,Conference location,Conference name,Controlled/Subject terms,Copyright,Corresponding author,DOI,Data Provider,Database,Document type,E-ISSN,Funding details,Funding text,ISBN13,ISSN,Issue,Issue date,Language,Main heading,Monograph title,Number of references,Pages,Part number,Publication year,Publisher,Source,Sponsor,Title,Title of translation,Uncontrolled terms,Volume
Cailiao Daobao/Mater. Rev.,"This paper briefly introduces the physical and chemical properties and application of diamond films. The merits and demerits of different chemical vapor deposition methods which are applied to diamond film production are discussed, and technology bottleneck of MPCVD is presented. The influences on nucleation process of diamond films, specifically, reaction chamber pressure, substrate temperature, substrate material and enhanced nucleation technique, are summarized. It suggests that low reaction chamber pressure and substrate temperature, high carbon source concentration and plasma pretreatment would greatly benefit the nucleation density. We also expounded the influences of various process parameters on growth of diamond films and the technical characteristics about synthetic diamond films with microcrystalline, nanocrystalline, ultrananocrystalline. The technical problems of all varieties of synthetic diamond films are shown, and researches aiming to resolve them are summarized as well. © 2016, Materials Review Magazine. All right reserved.",,20163102677718,,"Jiang, Caiyi (1, 2); Gao, Jiyun (4); Guo, Shenghui (1, 2, 3, 5); Yang, Li (1, 2, 3, 5); Peng, Jinhui (1, 2, 3, 4, 5); Zhang, Libo (1, 2, 3, 5); Hu, Tu (2, 3, 5); Wang, Shixing (2, 3, 5) ","(1) State International Joint Research Center of Advanced Technology for Superhard Materials, Kunming University of Science and Technology, Kunming; 650093, China (2) Key Laboratory of Unconventional Metallurgy, Ministry of Education, Kunming University of Science and Technology, Kunming; 650093, China (3) National Local Joint Laboratory of Engineering Application of Microwave Energy and Equipment Technology, Kunming University of Science and Technology, Kunming; 650093, China (4) Key Laboratory of Comprehensive Utilization of Mineral Resources in Ethnic Regions, Yunnan Minzu University, Kunming; 650031, China (5) Faculty of Metallurgical and Energy Engineering, Kunming University of Science and Technology, Kunming; 650093, China ",,761 Nanotechnology - 802.2 Chemical Reactions - 804 Chemical Products Generally - 933.1.2 Crystal Growth - 951 Materials Science,,,,,Chemical vapor deposition - Growth (materials) - Nanocrystals - Nucleation - Synthetic diamonds,"Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Yang, Li(yanglikmust@163.com) ",10.11896/j.issn.1005-023X.2016.011.014,Engineering Village,Compendex,Journal article (JA),,,,,1005023X,6,"June 10, 2016",Chinese,Diamond films,,50.0,83-88,,2016,Cailiao Daobaoshe/ Materials Review,Cailiao Daobao/Materials Review,,MPCVD-produced diamond films: nucleation and growth processes,,Chemical vapor deposition methods - Microwave plasma - Nucleation and growth - Nucleation densities - Nucleation process - Physical and chemical properties - Plasma pre-treatment - Substrate temperature,30
Guang Pu Xue Yu Guang Pu Fen Xi,"Wild relatives play a very important role in enriching germplasm resources and improving the quality and yield of cultivated species. In this paper, the genetic relationship between Panax notoginseng and its wild relatives has been investigated by using Fourier transform infrared (FTIR) spectroscopy in order to provide theoretical bases in the variety improvement of P. notoginseng as well as the development and utilization of germplasm resources. The FTIR spectra of P. notoginseng and its wild relatives (P. japonicus var. major, P. stipuleanatus, P. vietnamensis, P. japonicus var. bipinnatifidus) as well as Panax notoginsenosides were collected. The original infrared spectra of P. notoginseng and its wild relatives were pretreated by automatic baseline correction, smoothing, ordinate normalization and second derivative. The genetic relationship between P. notoginseng and its wild relatives has been studied together with the aid of principal component analysis (PCA), partial least squares discriminant analysis (PLS-DA) and hierarchical cluster analysis (HCA). By comparing the infrared spectra of P. notoginseng with that of panax notoginsenosides, some common peaks such as 3 400, 2 930, 1 635, 1 385, 1 075 and 927 cm-1has been found. It showed that the peak heights of P. notoginseng samples may relate with the content of panax notoginsenosides. The original infrared spectra of P. notoginseng are similar to its wild relatives and the absorption peaks of the functional groups of C-H, C=O, O-H, C-N and C-O were presented. There were some differences in the fingerprint region (1 800~500 cm-1) of the second derivative spectra of these five species samples. The characteristic absorption peaks such as 1 385 and 784 cm-1has an obviously differentiation. Then the fingerprint region of second derivative spectra is subjected to be analyzed by PCA and PLS-DA. By comparing the 3D score plots of these two methods, the classification result of PLS-DA is significantly better than PCA. In addition, the result of HCA which based on the six principal components of PLS-DA has shown that P. japonicus var. major and P. vienamensis have close relationship with P. notoginseng while P. stipuleanatus and P. japonicus var. bipinnatifidus are far from P. notoginseng. The use of Fourier transform infrared spectroscopy combined with chemometrics methods could effectively investigate the genetic relationship between P. notoginseng and its wild relatives. Furthermore, it could provide reference for the research of medicinal plants. © 2016, Peking University Press. All right reserved.",,20163302717189,,"Li, Yun (1, 2); Wang, Yuan-Zhong (2); Yang, Wei-Ze (2); Yang, Shao-Bing (2); Zhang, Jin-Yu (1, 2); Xu, Fu-Rong (1) ","(1) College of Traditional Chinese Medicine, Yunnan University of Traditional Chinese Medicine, Kunming; 650500, China (2) Institute of Medicinal Plants, Yunnan Academy of Agricultural Sciences, Kunming; 650200, China ",GYGFED,"723 Computer Software, Data Handling and Applications - 801 Chemistry - 911.5 Value Engineering - 921.6 Numerical Methods - 922 Statistical Methods - 922.2 Mathematical Statistics - 961 Systems Science",,,,,Cluster analysis - Conservation - Discriminant analysis - Hierarchical systems - Least squares approximations - Natural resources - Principal component analysis - Spectrum analysis - Value engineering,"Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Xu, Fu-Rong(xfrong99@163.com) ",10.3964/j.issn.1000-0593(2016)08-2420-05,Engineering Village,Compendex,Journal article (JA),,,,,10000593,8,"August 1, 2016",Chinese,Fourier transform infrared spectroscopy,,28.0,2420-2424,,2016,Science Press,Guang Pu Xue Yu Guang Pu Fen Xi/Spectroscopy and Spectral Analysis,,Study on the genetic relationship of panax notoginseng and its wild relatives based on fourier translation infrared spectroscopy,,Characteristic absorption - Development and utilizations - Genetic relationships - Germplasms - Hierarchical cluster analysis - Panax notoginseng - Partial least squares discriminant analyses (PLSDA) - Wild relatives,36
Yanshilixue Yu Gongcheng Xuebao,"A bulky mining-out area was formed at Dahongshan iron mine with sublevel caving method. The thickness of overburden is 627 to 750 meter. In order to understand the development of collapse area, fractured zone and high stress concentration zone in overburden so as to prevent the sudden large-scale and dynamic ground pressure disasters, micro-seismic monitoring, tunnel observation and borehole detection methods were used to carry out the comprehensive monitoring and research. Base on the precise location of fracture source with multi-channel micro-seismic monitoring technology, high-stress concentration zone and its developing trend were determined, and then the outer boundary was deduced. At same time, the analysis on fracture types of fracture source with double couples model showed that the tension fracture with volume-increasing accounted for majority of all sources, while the shear failure and mixed failure accounted for minority. The boundary of collapse area, external and internal boundaries of fractured area were determined directly through the artificial observation in special tunnels. The borehole detection as the auxiliary method was used to determine and validate the external boundary of fractured zone. A comprehensive monitoring and analysis were carried out to obtain the caving zone, cracking zone and high stress concentration area in overburden in different periods from 2011 to 2013. The development of high stress zone, cracking zone and caving zone in different periods were also obtained. The studies showed that the caving and cracking processes in overburden were slow and gradual. The sudden and dynamic large-scale collapse disaster would not occur. The conclusion of this paper played an important role in guiding the safe production of the mine. © 2016, Science Press. All right reserved.",,20164202902619,,"Li, Shulin (1); Hu, Jingyun (2); Zhou, Aimin (2); Lin, Feng (2); Yu, Zhengfang (3) ","(1) School of Architectural and Civil Engineering, Xiamen University, Xiamen; Fujian; 361005, China (2) Changsha Institute of Mining Research Co., Ltd., National Metal Mining Engineering and Technology Research Center, Changsha; Hunan; 410012, China (3) Yuxi Dahongshan Mining Co., Ltd., Yuxi; Yunnan; 653100, China ",YLGXF5,"484.1 Earthquake Measurements and Analysis - 506 Mining Engineering, General - 914.1 Accidents and Accident Prevention - 951 Materials Science",,,,,Cracks - Disaster prevention - Disasters - Mining engineering - Seismology - Stress concentration,"Compilation and indexing terms, Copyright 2019 Elsevier Inc.",,10.13722/j.cnki.jrme.2015.1686,Engineering Village,Compendex,Journal article (JA),,,,,10006915,9,"September 15, 2016",Chinese,Fracture,,13.0,1729-1739,,2016,Academia Sinica,Yanshilixue Yu Gongcheng Xuebao/Chinese Journal of Rock Mechanics and Engineering,,Comprehensive research on character of collapse and fracture of thick and large overburden rock in cave mining,,Collapse area - Comprehensive monitoring - Comprehensive research - External boundaries - Ground pressure disaster - High stress concentration - Micro-seismic - Overburden,35
"IEEE Int. Conf. Power Syst. Technol., POWERCON","Rapid growth of air conditioning (AC) has caused large effect on safe and economical operation of power grid especially in summer. The research on the AC load monitoring is of great significance for improving the stability of power grid. Non-intrusive load monitoring (NILM) is gaining attention due to many attractive features, such as low cost, low-complexity and easy promotion. A NILM of AC model using low sampling rate smart meter data is proposed in this paper. Firstly, preliminary recognition is performed to detect all possible events. Secondly, several features describing the distinct difference between AC and other appliances are extracted. Support Vector Classification (SVM) model for further detection is built with the extracted features. Finally, simulations on real-world data with low sampling rate from 5 houses are carried out to verify the effectiveness of our model. The results indicate that the switch statuses of AC can be effectively identified by the proposed model. © 2016 IEEE.",,20165203165624,7753952.0,"Shi, Su (1); Yuting, Yan (1); Hai, Lu (1); Li, Kangping (2); Sun, Yujing (2); Wang, Fei (2, 3); Liu, Liming (2); Ren, Hui (2) ","(1) Yunnan Power Grid Co. Ltd, Electric Power Research Institute, Kunming; 650217, China (2) State Key Laboratory of Alternate Electrical Power System with Renewable Energy Source, North China Electric Power University, Baoding; 071003, China (3) University of Illinois at Urbana-Champaign, Urbana; IL; 61801, United States ",,643.3 Air Conditioning - 706.1 Electric Power Systems - 706.1.1 Electric Power Transmission - 921.3 Mathematical Transformations - 942 Electric and Electronic Measuring Instruments,125024.0,"September 28, 2016 - October 1, 2016","Wollongong, NSW, Australia","2016 IEEE International Conference on Power System Technology, POWERCON 2016",Air conditioning - Electric load management - Electric power system economics - Electric power transmission networks - Wavelet decomposition,"Compilation and indexing terms, Copyright 2019 Elsevier Inc.",,10.1109/POWERCON.2016.7753952,Engineering Village,Compendex,Conference article (CA),,,,9781467388481.0,,,"November 22, 2016",English,Smart meters,"2016 IEEE International Conference on Power System Technology, POWERCON 2016",9.0,,1of1,2016,Institute of Electrical and Electronics Engineers Inc.,"2016 IEEE International Conference on Power System Technology, POWERCON 2016",,Non-intrusive load monitoring of air conditioning using low-resolution smart meter data,,Economical operation - Low resolution - Nonintrusive load monitoring - Rapid growth - Sampling rates - Solar PVs - Support vector classification - Switch status,
Greenh. Gases Sci. Technol.,"N2O, CO2, and CH4are important greenhouse gases (GHGs) in paddy fields, and rice plants play an important role in GHG emissions in paddy fields. However, the relationship between light and rice plant GHG emissions is unclear. In this study, we monitored N2O, CO2, and CH4emissions of mature aging rice under different light qualities and intensities. The results showed that (i) under natural sunlight, the rice phyllosphere N2O emission rate was 22.94 μg pot–1h–1, accounting for 60% of the whole rice plant total N2O-N evaporation loss. The CO2emission rates from the phyllosphere and the root system were 27.82 mg pot–1h–1and 8.02 mg pot–1h–1, respectively. However, no CH4net emission effects were observed. (ii) Under a constant LED monocolor light intensity (1600 Lux), red, blue, and white light can inhibit N2O and CO2emissions from the rice phyllosphere, resulting in lower emissions than yellow light. White light can also inhibit N2O and CO2emissions from rice roots. (iii) Within the range of 06000 Lux, increases in light intensity can reduce rice phyllosphere CO2emissions, but such increases also promote N2O emissions from the rice phyllosphere and the roots. In contrast, natural sunlight can promote rice phyllosphere N2O and CO2emissions and can inhibit root N2O emissions. The measure of light control may be the key to low-carbon technology for GHG emission reductions in mature paddy ecosystems. © 2015 Society of Chemical Industry and John Wiley & Sons, Ltd. © 2015 Society of Chemical Industry and John Wiley & Sons, Ltd.",,20162602534460,,"Xu, Shengguang (1); Li, Bing (2); Xia, Yujie (2); Yu, Lei (3); Lin, Li (3); Chen, Zebin (3); Li, Yuwu (4) ","(1) Kunming University, Yunnan, China (2) Chinese Academy of Sciences, Yunnan, China (3) Kunming University, Yunnan, China (4) Chinese Academy of Sciences, Yunnan, China ",,"451.1 Air Pollution Sources - 451.2 Air Pollution Control - 804.2 Inorganic Compounds - 805 Chemical Engineering, General - 913.3 Quality Assurance and Control",,,,,Carbon dioxide - Chemical industry - Emission control - Particulate emissions - Quality control,"Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Li, Yuwu(lyw@xtbg.org.cn) ",10.1002/ghg.1565,Engineering Village,Compendex,Journal article (JA),21523878,,,,,3,"June 1, 2016",English,Greenhouse gases,,28.0,308-318,,2016,Blackwell Publishing Ltd,Greenhouse Gases: Science and Technology,,Controlling light quality and intensity can reduce N2O and CO2emissions of mature aging rice,,GHG emission - Light intensity - Light quality - Liquid culture - Paddy fields,6
J. Intelligent Fuzzy Syst.,"In this paper, by using the t-norm T and t-conorm S, we introduce the intuitionistic fuzzy bi-normed KU-ideals of a KU-algebra. Some properties of intuitionistic fuzzy bi-normed KU-ideals of a KU-algebra under the homomorphism are discussed. The direct product and the (T, S)-product of intuitionistic fuzzy bi-normed KU-ideals are particularly investigated. Some results obtained in this paper can be regarded as extended and generalized results recently given by S.M. Mostafa et al. concerning the intuitionistic fuzzy KU-ideals in KU-algebras. © 2016 - IOS Press and the authors. All rights reserved.",,20160801976246,,"Senapati, Tapan (1); Shum, K.P. (2) ","(1) Department of Applied Mathematics with Oceanology and Computer Programming, Vidyasagar University, Midnapore; 721102, India (2) Institute of Mathematics, Yunnan University, Kunming, China ",,"721.1 Computer Theory, Includes Formal Logic, Automata Theory, Switching Theory, Programming Theory - 921.1 Algebra",,,,,Algebra - Fuzzy logic - Mathematical operators,"Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Senapati, Tapan(math.tapan@gmail.com) ",10.3233/IFS-151841,Engineering Village,Compendex,Journal article (JA),18758967,,,,10641246,2,"February 9, 2016",English,Fuzzy sets,,33.0,1169-1180,,2016,"IOS Press, Nieuwe Hemweg 6B, Amsterdam, 1013 BG, Netherlands",Journal of Intelligent and Fuzzy Systems,,Atanassov's intuitionistic fuzzy bi-normed KU -ideals of a KU -algebra,,"Direct product - homomorphism, upper(lower)-level cut - Intuitionistic fuzzy - T - Norm - T-conorms",30
Nongye Gongcheng Xuebao,"In recirculating aquaculture system(RAS), the metabolites and residual feed of fish are the main sources of ammonia nitrogen. The biological filter is widely used to avoid the accumulation of ammonia nitrogen. Autotrophic nitrification plays an important role in biological filter. However, the proliferation period of autotrophic nitrification is relatively long, and susceptible to temperature; once the system fails to run, it takes a long time for nitrifying bacterial colony to recovery. In recent years, electrochemical oxidation technology has been applied to remove ammonia nitrogen. In this paper, the removal rates of ammonia nitrogen under different flow velocities, temperatures and current densities were investigated. The artificial wastewater with added ammonia nitrogen was used in this study. The salinity of wastewater was 30‰, and the initial concentration of ammonia nitrogen was 10 mg/L. The micro-current electrolysis system was placed in a climatic cabinet to obtain a desirable temperature. The prepared wastewater of 2 L was poured into a beaker and heated by a constant temperature magnetic stirrer. The wastewater was circulated between electrolysis cell and beaker using a peristaltic pump, and then the power supply was enabled 10 min later. Various values of flow velocity(100, 300 and 500 mL/min), temperature (18, 25 and 32) and current density(20, 40 and 60 A/m2) were used in the experiments, and the ammonia nitrogen concentration was measured every 15 min. Moreover, the optimal electrolytic condition was established by the orthogonal analysis. The energy consumption of removing ammonia nitrogen was also calculated. The results showed that the removal rates of ammonia nitrogen after 90 min with different flow velocity of 100, 300 and 500 mL/min reached 92.38%, 95.15% and 93.27% respectively under the condition of 25 and 40 A/m2. Single factor analysis showed that the flow velocity had no significant effect on the removal rate. When the current density was 40 A/m2, the flow velocity was 300 mL/min, the removal rates of ammonia nitrogen reached 87.45%, 88.78% and 92.25% respectively after 60 min with different temperature of 18, 25 and 32. Single factor analysis showed that the temperature had no significant effect on the removal rate. When the temperature was 25, the flow velocity was 300 mL/min, the removal rates of ammonia nitrogen reached 59.32%, 87.89% and 89.01% respectively after 60 min with different current density of 20, 40 and 60 A/m2. Single factor analysis showed that the current density had significant effect on the removal rate, and the removal rate of ammonia nitrogen increased with the current density. The orthogonal analysis showed that the current density was the main influence factor of ammonia removal rate, and the optimum conditions were the current density of 40 A/m2and the flow rate of 300 mL/min, which resulted in the lowest energy consumption of 21.26 Wh/kg. Therefore, the micro-current electrolysis technology has good effect on the removal of ammonia nitrogen, the removal efficiency is relatively higher, and the energy consumption is relatively lower. The micro-current electrolysis technology has a great potential for application compared with the traditional biological filter. © 2016, Chinese Society of Agricultural Engineering. All right reserved.",,20160701941265,,"Ye, Zhangying (1); Pei, Luowei (1); Lin, Xiaochang (1); Gu, Zhaobing (2); Wang, Shuo (1); Zhu, Songming (1); Ruan, Yunjie (1) ","(1) College of Biosystems Engineering and Food Science, Zhejiang University, Key Laboratory of Equipment and Informatization in Environment Controlled Agriculture, Hangzhou; 310058, China (2) College of Animal Science and Technology, Yunnan Agricultural University, Kunming; 650201, China ",NGOXEO,444 Water Resources - 525.3 Energy Utilization - 631 Fluid Flow - 641.1 Thermodynamics - 701.1 Electricity: Basic Concepts and Phenomena - 801.4.1 Electrochemistry - 802.2 Chemical Reactions - 804 Chemical Products Generally - 804.2 Inorganic Compounds - 821.3 Agricultural Methods - 922 Statistical Methods - 922.2 Mathematical Statistics,,,,,Ammonia - Aquaculture - Current density - Electrochemical oxidation - Electrolysis - Electrolytic analysis - Energy utilization - Factor analysis - Filters (for fluids) - Flow rate - Flow velocity - Multivariant analysis - Nitrification - Nitrogen - Saline water - Temperature - Velocity,"Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Ruan, Yunjie(ruanyj@zju.edu.cn) ",10.11975/j.issn.1002-6819.2016.01.030,Engineering Village,Compendex,Journal article (JA),,,,,10026819,1,"January 1, 2016",Chinese,Nitrogen removal,,19.0,212-217,,2016,Chinese Society of Agricultural Engineering,Nongye Gongcheng Xuebao/Transactions of the Chinese Society of Agricultural Engineering,,Ammonia removal effect by using micro-current electrolysis in aquaculture saline water,,Ammonia nitrogen - Artificial wastewater - Constant temperature - Electrolysis systems - Initial concentration - Orthogonal analysis - Recirculating aquaculture system - Removal efficiencies,32
J. Phys. Chem. C,"The UV-visible absorption spectra of two-dimensional (2D) assemblies of Ag or Au nanocrystals (NCs) are measured in transmission at variable incidence angles for different average NC diameters ranging from 7.0 to 3.9 nm. The absorption spectra dominated by the collective surface plasmon resonance (SPR) absorption band are compared to those calculated using the discrete dipole approximation (DDA) method. The anisotropy of the optical response is inherent to the planar geometry of the NC assembly because of the near-field coupling between nanocrystals. For Ag NCs, the absorption spectra reveal the splitting of the SPR band into two components, namely, the transverse and longitudinal modes. At variance, no SPR band splitting is observed for 2D assemblies of Au NCs with identical size and coating agent. These features were satisfactorily reproduced by DDA simulation even though the SPR mode energies deduced from our calculations slightly overestimate the measured ones. The influence of the coating dodecanethiol molecules on the electron refractive index inside the nanocrystals as well as that of the substrate could explain the mismatch between the measured and calculated spectra. © 2016 American Chemical Society.",,20162802572523,,"Wei, J.J. (1); Yang, P. (2); Portalès, H. (1); Albouy, P.-A. (3); Pileni, M.P. (1, 4) ","(1) Sorbonne Universités, UPMC Univ Paris 6, UMR 8233, CNRS, MONARIS, Université Pierre et Marie Curie, Boîte courrier 52, 4 place Jussieu, Paris; F-75005, France (2) School of Materials Science and Engineering, Yunnan University, Kunming; 650000, China (3) Laboratoire de Physique des Solides, Université Paris-Sud, Orsay; 91405, France (4) CEA, IRAMIS, CEA Saclay, Gif-sur-Yvette; 91191, France ",,547.1 Precious Metals - 711.2 Electromagnetic Waves in Relation to Various Structures - 741.1 Light/Optics - 761 Nanotechnology - 813.2 Coating Materials - 921 Mathematics - 931.3 Atomic and Molecular Physics,,,,,Absorption spectra - Coatings - Geometry - Gold - Nanocrystals - Plasmons - Refractive index - Silver,"Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Portalès, H.(herve.portales@upmc.fr) ",10.1021/acs.jpcc.6b03397,Engineering Village,Compendex,Journal article (JA),19327455,,,,19327447,25,"June 30, 2016",English,Surface plasmon resonance,,40.0,13732-13738,,2016,American Chemical Society,Journal of Physical Chemistry C,,Collective Surface Plasmon Resonances in Two-Dimensional Assemblies of Au and Ag Nanocrystals: Experiments and Discrete Dipole Approximation Simulation,,Calculated spectrum - Discrete dipole approximation - Longitudinal modes - Near-field coupling - Two Dimensional (2 D) - Two-dimensional assemblies - UV visible absorption spectrum - Variable incidence angle,120
Dig Int Geosci Remote Sens Symp (IGARSS),"The inventory of economic forest planting on mountainous area is of great interest for the shareholders, ecologists, and governors. This study presents a novel object-based remote sensing image texture extraction method to aid the classification of mountain economic forest. Whereas the texture pattern of man-planted forest on mountainous area are similar with human fingerprint on remote sensing images, then we integrated the fingerprint recognition method with the image object-based GLCM (gray-level co-occurrence matrix) texture extraction method to classify economic forest plantation. The given method firstly enhances the texture feature of segmented image objects using a 2D Gabor filter; and then carries out an image binaryzation process to the filtered image objects; it lastly uses GLCM to calculate the texture characteristics of each image object. The classification result of the presented method shows a considerable classification accuracy increment comparing to the image object-based GLCM texture extraction method. © 2016 IEEE.",,20170103213052,7729816.0,"Yang, Panpan (1); Hou, Zhiting (1); Liu, Xiaolong (1); Shi, Zhengtao (1) ","(1) College of Tourism and Geography Science, Yunnan Normal University, Kunming; 650500, China ",IGRSE3,,124694.0,"July 10, 2016 - July 15, 2016","Beijing, China","36th IEEE International Geoscience and Remote Sensing Symposium, IGARSS 2016",,"Compilation and indexing terms, Copyright 2019 Elsevier Inc.",,10.1109/IGARSS.2016.7729816,Engineering Village,Compendex,Conference article (CA),,,,9781509033324.0,,,"November 1, 2016",English,,"2016 IEEE International Geoscience and Remote Sensing Symposium, IGARSS 2016 - Proceedings",14.0,3156-3159,,2016,Institute of Electrical and Electronics Engineers Inc.,International Geoscience and Remote Sensing Symposium (IGARSS),"The Institute of Electrical and Electronics Engineers, Geoscience and Remote Sensing Society (GRSS)",Texture feature extraction of mountain economic forest using high spatial resolution remote sensing images,,,2016-November
Mob. Inf. Sys.,"On-demand broadcast is an effective data dissemination technique to enhance the system ability to handle dynamic client access patterns. With the development of real-time wireless applications, it is practical for clients to request multiple related data items with time constraint in one request. For real-time data broadcast, items are only useful if they can be received by clients before expiration; otherwise, the related requests become invalid. Hence, minimizing the number of requests that miss their deadlines becomes an important task in on-demand broadcast, especially for multi-item scenario, where more requests are inclined to miss their deadlines due to the heavier workload and greater complexity, compared with single-item scenario. In this paper, we propose a network coding-based scheduling algorithm for real-time multi-item data dissemination. The proposed algorithm exploits the coding opportunities between cached and requested data items and integrates network coding with data scheduling to minimize the deadline miss ratio. Extensive simulation results demonstrate that the proposed algorithm achieves the lowest deadline miss ratio under various circumstances. In addition, the high efficiency of the proposed algorithm in utilizing the transmission bandwidth is proved for that fewer instances of ineffective service are provided for satisfying clients' requests within time constraints. © 2016 Shujuan Wang et al.",Open Access,20170203241843,4320781.0,"Wang, Shujuan (1); Yan, Chunting (1); Yu, Zhengtao (1) ","(1) School of Information Engineering and Automation, Kunming University of Science and Technology, Yunnan; 650500, China ",,716.1 Information Theory and Signal Processing - 723.2 Data Processing and Image Processing - 903.2 Information Dissemination - 912.2 Management,,,,,Codes (symbols) - Information dissemination - Scheduling - Scheduling algorithms - Wireless telecommunication systems,"Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Wang, Shujuan(shujuanwang0703@126.com) ",10.1155/2016/4320781,Engineering Village,Compendex,Journal article (JA),1875905X,"Number: 2014Z022, Acronym: -, Sponsor: -; Number: KKSY201403024, Acronym: KUST, Sponsor: Kunming University of Science and Technology; Number: 61561029, Acronym: NSFC, Sponsor: National Natural Science Foundation of China; ",This study was supported by the National Natural Science Foundation of China (Grant no. 61561029) and funded by the Major Project of Education Department of Yunnan Province (Grant no. 2014Z022) and the Talent Development Project of Kunming University of Science and Technology (Grant no. KKSY201403024).,,1574017X,,2016,English,Network coding,,43.0,,,2016,"Hindawi Limited, 410 Park Avenue, 15th Floor, 287 pmb, New York, NY 10022, United States",Mobile Information Systems,,Efficient Coding-Based Scheduling for Multi-Item Requests in Real-Time On-Demand Data Dissemination,,Client access patterns - Data dissemination techniques - Deadline miss ratio - Extensive simulations - Minimizing the number of - On-demand broadcast - Transmission bandwidth - Wireless application,2016
Yi Qi Yi Biao Xue Bao,"The image objects in the image classification are often large amount of data, and the information content of the image objects is huge, information redundancy and high noise. The image itself cannot describe the feature of such images well, which brings a lot of trouble for storage and computation.. This paper proposed the method on image classification of multi -feature based on D-S evidence theory for transmission line icing image. In the research of image classification for transmission line icing image, the feature image is used to represent the images and classification, and the classification research on multi-feature image is transformed into decision problem, and then apply the D-S evidence theory to realize image classification for the multi-feature transmission line icing image. Finally, the experimental results show that the proposed method is efficient forimage classification for the multi-feature transmission line icing image. © 2016, Science Press. All right reserved.",,20171203472948,,"Zhou, Qing (1); Li, Jie (2); Wang, Lingyun (1); Wei, Yang (2); Xiao, Qianbo (1); Liu, Xiangming (3) ","(1) State Grid Chongqing Electric Power Co. Electric Power Research Institute, Chongqing; 401123, China (2) Shenzhen Institute of Advanced Smart Technology, Shenzhen; 518055, China (3) Honghe University, College of Engineering Mengzi, Yunnan; 661100, China ",YYXUDY,"703.1 Electric Networks - 706.2 Electric Power Lines and Equipment - 716.1 Information Theory and Signal Processing - 721.1 Computer Theory, Includes Formal Logic, Automata Theory, Switching Theory, Programming Theory - 722.1 Data Storage, Equipment and Techniques - 961 Systems Science",,,,,Classification (of information) - Computation theory - Decision theory - Digital storage - Electric lines - Transmission line theory,"Compilation and indexing terms, Copyright 2019 Elsevier Inc.",,,Engineering Village,Compendex,Journal article (JA),,,,,02543087,,"December 1, 2016",Chinese,Image classification,,15.0,102-107,,2016,Science Press,Yi Qi Yi Biao Xue Bao/Chinese Journal of Scientific Instrument,,Research on image classification of multi feature based on D-S evidence theory for transmission line icing image,,D S evidence theory - Decision problems - Feature images - Information contents - Information redundancies - Large amounts - Multi features - Transmission line icings,37
Opt. InfoBase Conf. Pap,The point spread functions of the practical digital holographic microscopic systems are briefly derived. The ultimate resolutions and the advantages of image-plane digital holography are analyzed. Experiment results demonstrate the correctness of the analysis. © OSA 2016.,,20171303507207,,"Wang, Huaying (1); Dong, Zhao (1); Xi, Sixing (1); Men, Gaofu (1); Wang, Xue (1); Jiang, Xianan (2, 3); Lou, Yuli (4) ","(1) School of Science, Hebei University of Engineering, Handan, Hebei; 056038, China (2) School of Architecture, Hebei University of Engineering, Handan, Hebei; 056038, China (3) Hebei Boxia Photoelectric Information Science and Technology Co Ltd, Handan, Hebei; 056000, China (4) School of Science, Kunming University of Science and Technology, Kunming, Yunnan; 650500, China ",,"714.2 Semiconductor Devices and Integrated Circuits - 723 Computer Software, Data Handling and Applications - 741.1 Light/Optics - 743 Holography - 746 Imaging Techniques",134258.0,"July 25, 2016 - July 28, 2016","Heidelberg, Germany","3D Image Acquisition and Display: Technology, Perception and Applications, 3D 2016",CCD cameras - Holography - Image acquisition - Optical transfer function,"Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Wang, Huaying(pbxsyingzi@126.com) ",10.1364/3D.2016.JW4A.54,Engineering Village,Compendex,Conference article (CA),,,,9781557528209.0,,,"July 18, 2016",English,Three dimensional displays,"3D Image Acquisition and Display: Technology, Perception and Applications, 3D 2016",7.0,,1 of 1,2016,OSA - The Optical Society,Optics InfoBase Conference Papers,ALPAO; American Elements; Intel; raytrix; Space UNSW Canberra,High-resolution and perfect imaging by image-plane digital holography with a very small dimension CCD camera,,Digital holography - High resolution - Image plane - Microscopic system,
