Title,Accession number,Author,Author affiliation,Corresponding author,Source,Abbreviated source title,Sponsor,Publisher,Volume,Issue,Pages,Issue date,Monograph title,Volume title,Part number,Publication year,Language,ISSN,E-ISSN,ISBN,ISBN13,DOI,Article number,Conference name,Conference date,Conference location,Conference code,CODEN,Document type,Abstract,Abstract type,Number of references,Main heading,Controlled/Subject terms,Uncontrolled terms,Classification code,Treatment,Funding details,Funding text,Access type,Database,Copyright,Data Provider
"Support Vector Machine Applied in the Classification of Fanjing Mountain's Tea","20183505753574","Yuan, Lina (1); Chen, Huajun (1); Gong, Jing (1) ","(1) College of Data Science, Tongren University, Tongren, China ","Yuan, Lina(893422817@qq.com) ","IOP Conference Series: Materials Science and Engineering","IOP Conf. Ser. Mater. Sci. Eng.","","Institute of Physics Publishing","394","5","","August 8, 2018","2018 5th International Conference on Advanced Composite Materials and Manufacturing Engineering - 4. Environmental Materials","","5 of 5","2018","English","17578981","1757899X","","","10.1088/1757-899X/394/5/052001","052001","2018 5th International Conference on Advanced Composite Materials and Manufacturing Engineering, ACMME 2018","June 16, 2018 - June 17, 2018","Xishuangbanna, Yunnan, China","138696","","Conference article (CA)","The problems of classification and regression are no longer state-of-the-art ones, however, with the popularization and extensive application of computers, especially, the rapid development of machine learning and data mining gives them fresh meaning. Nowadays, these problems become major problems that have triggered a broad range of research activities again. Due to its advantages, such as superior generalization performance, global convergence, sample dimension insensitivity, and so on, support vector machine (SVM) has made great progress in theory and application. This article compares SVM with BP neutral network to classify teas of Fanjing Mountains in view of accuracy and mean square error (MSE), and the simulation results show that the accurate rate of SVM is higher than that of BP neutral network, and the MSE of the former is lower than that of the latter. © 2018 Published under licence by IOP Publishing Ltd.","","8","Support vector machines","Bridge decks - Composite materials - Data mining - Manufacture - Mean square error","BP neutral network - Generalization performance - Global conver-gence - Mean Square Error (MSE) - Research activities - State of the art","401.1 Bridges - 537.1 Heat Treatment Processes - 723 Computer Software, Data Handling and Applications - 723.2 Data Processing and Image Processing - 922.2 Mathematical Statistics - 951 Materials Science",,"Number: 61562703, Acronym: NSFC, Sponsor: National Natural Science Foundation of China; ","This work was financially supported by the project of platform talent in Guizhou in 2016 (Project Number: [2016] 5611), education and cooperation for talent team word in Guizhou in 2015 (Project Number: [2015] 67), the Collaborative Fund Project of Science and Technology Agency in Guizhou Province Marked by the word LH on 7480 [2014], and partly supported by the National Natural Science Foundation of China (NO.61562703).","Open Access","Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
"Development of a rehabilitation robot for hand and wrist rehabilitation training","20161102092577","Wang, Chunbao (1, 2); Lu, Zhijiang (3); Wang, Yulong (5); Li, Mengjie (3); Duan, Lihong (4); Shen, Yajing (6); Wei, Jianjun (7); Shi, Qing (8); Zecca, Massimiliano (8); Li, Weiguang (3); Wu, Zhengzhi (4) ","(1) First Affliated Hospital, Sun Yat-sen University, China (2) Wintop (Dongguan) Industrial Technology Co., Ltd, No. 135, Xingang Xi Road, Guangzhou; 510275, China (3) South China University of Technology, China (4) Shenzhen Institute of Geriatrics, Shenzhen Second People's Hospital, China (5) Shenzhen Second People's Hospital, China (6) Mechanical and Biomedical Engineering, City University of Hong Kong, Hong Kong (7) Guangxi University of Science and Technology, China (8) School of Electronic, Electrical and Systems Engineering, Sir David Davis Building, W2.61, Loughborough University, Leicestershire; LE11 3TU, United Kingdom ","","2015 IEEE International Conference on Information and Automation, ICIA 2015 - In conjunction with 2015 IEEE International Conference on Automation and Logistics","IEEE Int. Conf. Inf. Autom., ICIA - conjunction IEEE Int. Conf. Autom. Logist.","CAS Shenzhen Institute of Advanced Technology; Harbin Institute of Technology Shenzhen Graduate School; HIT State Key Laboratory of Robotics and Systems; IEEE Robotics and Automation Society; Shanghai Gaitech Scientific Instruments Co., Ltd.; The Chinese University of Hong Kong","Institute of Electrical and Electronics Engineers Inc.","","","106-111","September 28, 2015","2015 IEEE International Conference on Information and Automation, ICIA 2015 - In conjunction with 2015 IEEE International Conference on Automation and Logistics","","1of1","2015","English","","","","9781467391047","10.1109/ICInfA.2015.7279267","7279267","2015 IEEE International Conference on Information and Automation, ICIA 2015 - In conjunction with 2015 IEEE International Conference on Automation and Logistics","August 8, 2015 - August 10, 2015","Yunnan, China","116345","","Conference article (CA)","Up to now, the number of hemiplegia rehabilitation devices is increasing quickly along with hemiplegic patients'. But most of hand rehabilitation training just limit to the fingers flexible training of patients' affected hand. They not only ignore the importance of functional training of hand, but also wrist cooperative training during rehabilitation process. In our new research, we proposed a novel hand and wrist rehabilitation robot to achieve grasp functional training of hand except thumb and intorsion/extorsion and dorsiflexion/plantar flexion of wrist, which provides a creative hand rehabilitation way for hemiplegic patients. In this paper, we will introduce the detail design of the robot. It mainly includes two rehabilitation units - wrist rehabilitation unit and hand rehabilitation unit, which can realize separate motion or cooperate motion of hand and wrist based on patients' willingness. What's more, the torque sensor unit is purposely designed to detect feedback torque of related motion instead of available ones in the market, which makes the whole mechanical structure more compact. In a word, this novel hand and wrist rehabilitation robot will have a promising prospect. © 2015 IEEE.","","20","Patient rehabilitation","Automation - Machine design - Personnel training - Robots - Torque","Functional trainings - Mechanical structures - Rehabilitation devices - Rehabilitation robot - Robot sensing system - Thumb - Wrist - Wrist Rehabilitation","461.5 Rehabilitation Engineering and Assistive Technology - 601 Mechanical Design - 731 Automatic Control Principles and Applications - 731.5 Robotics - 912.4 Personnel - 931.2 Physical Properties of Gases, Liquids and Solids",,,,,"Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
"The Relationship between Trade Freedom and Gender Discrimination in Industrial Employment - Based on the Research of Multinational Panel Data","20183505753520","Feng, Zhengqiang (1); Zhou, Hui (1) ","(1) School of Business, Central South University, Changsha; 410083, China ","Feng, Zhengqiang(179139387@qq.com) ","IOP Conference Series: Materials Science and Engineering","IOP Conf. Ser. Mater. Sci. Eng.","","Institute of Physics Publishing","394","5","","August 8, 2018","2018 5th International Conference on Advanced Composite Materials and Manufacturing Engineering - 4. Environmental Materials","","5 of 5","2018","English","17578981","1757899X","","","10.1088/1757-899X/394/5/052072","052072","2018 5th International Conference on Advanced Composite Materials and Manufacturing Engineering, ACMME 2018","June 16, 2018 - June 17, 2018","Xishuangbanna, Yunnan, China","138696","","Conference article (CA)","This paper is based on the multinational panel data of 226 countries and regions from 1985 to 2016, using the ratio of industrial female employees to industrial male employees to measure gender discrimination in industrial employment, measuring the degree of trade freedom forwardly and reversely by foreign trade dependence and MFN weighted average tariff rate respectively, analyzing the impact of trade freedom on the ratio of industrial employment of women to men by empirical test. The lag phase of foreign trade dependence and weighted MFN weighted average tariff rate are used as the instrumental variables of the two models to deal with the endogeneity problem. The empirical result shows that increasing the degree of trade freedom will reduce the ratio of industrial female employees to industrial male employees, so trade freedom aggravates the gender discrimination in industrial employment. © 2018 Published under licence by IOP Publishing Ltd.","","11","Industrial research","Bridge decks - Composite materials - Employment - International trade - Manufacture - Personnel - Statistical methods","Empirical test - Endogeneity - Gender discrimination - Industrial employment - Instrumental variables - Lag phase - Multinational panels - Weighted averages","401.1 Bridges - 537.1 Heat Treatment Processes - 912.1 Industrial Engineering - 912.4 Personnel - 922.2 Mathematical Statistics - 951 Materials Science",,,,"Open Access","Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
"Review on the Groundwater Potential Evaluation Based on Remote Sensing Technology","20183505753611","Ni, Borui (1); Wang, Daqing (1); Deng, Zhengdong (1); Xu, Haoli (1); Wang, Donghao (1); Jiang, Xiaochen (1) ","(1) Defense Engineering College, Army Engineering University, Nanjing; 210007, China ","Wang, Daqing(wangdq_cumt@sina.com) ","IOP Conference Series: Materials Science and Engineering","IOP Conf. Ser. Mater. Sci. Eng.","","Institute of Physics Publishing","394","5","","August 8, 2018","2018 5th International Conference on Advanced Composite Materials and Manufacturing Engineering - 4. Environmental Materials","","5 of 5","2018","English","17578981","1757899X","","","10.1088/1757-899X/394/5/052038","052038","2018 5th International Conference on Advanced Composite Materials and Manufacturing Engineering, ACMME 2018","June 16, 2018 - June 17, 2018","Xishuangbanna, Yunnan, China","138696","","Conference article (CA)","Groundwater is an important water resource, and plays an important role in people's life and production. The evaluation of groundwater potential is the prerequisite and basis of groundwater development and utilization. Compered to geophysical prospecting, drilling and other traditional groundwater evaluation method, remote sensing technology is an advanced monitoring method with time-saving, economize labour and highly efficient. Remote sensing technology can obtain the related information about groundwater potential with wide range, rapid and objective characteristic, and is an improvement and effective complement of the traditional methods. Based on the analysis of the current research status of remote sensing technology, this paper summarizes the method of groundwater potential evaluation by remote sensing technology, and analyses the advantages and disadvantages of various methods, and points out the research topic and development direction of the method. © 2018 Published under licence by IOP Publishing Ltd.","","22","Remote sensing","Bridge decks - Composite materials - Groundwater - Groundwater resources - Manufacture","Advanced monitoring - Current research status - Development directions - Groundwater development - Groundwater potentials - Remote sensing technology - Research topics","401.1 Bridges - 444.2 Groundwater - 537.1 Heat Treatment Processes - 951 Materials Science",,"Number: 2017YFC0506304, Acronym: -, Sponsor: -; ","This work was supported by Development Program of China research and demonstration of ecological construction of typical islands in the South China Sea and the monitoring technology of ecological things in the South China Sea (2017YFC0506304); based on remote sensing geology survey, the application information extraction and drawing of national defense construction (D2016007637).","Open Access","Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
"Green building design evaluation based on grey clustering method","20183505756598","Man, Jinping (1); Zhang, Lijun (1) ","(1) School of Civil Engineering, Qinghai University, Xining, Qinghai; 810016, China ","Zhang, Lijun(459176911@qq.com) ","IOP Conference Series: Materials Science and Engineering","IOP Conf. Ser. Mater. Sci. Eng.","","Institute of Physics Publishing","394","3","","August 8, 2018","2018 5th International Conference on Advanced Composite Materials and Manufacturing Engineering - 2. Engineering Materials and Manufacturing Engineering","","3 of 5","2018","English","17578981","1757899X","","","10.1088/1757-899X/394/3/032096","032096","2018 5th International Conference on Advanced Composite Materials and Manufacturing Engineering, ACMME 2018","June 16, 2018 - June 17, 2018","Xishuangbanna, Yunnan, China","138696","","Conference article (CA)","This paper sets up a green building evaluation system based on grey clustering method for the rational evaluation of green building design. First, the index weight is determined by the analytic hierarchy process (AHP), and then the grey clustering method based on the triangular whitening weight function is used. Finally, the green building design is evaluated according to the green building evaluation standard in this area. © Published under licence by IOP Publishing Ltd.","","5","Architectural design","Analytic hierarchy process - Bridge decks - Cluster analysis - Composite materials - Manufacture","Analytic hierarchy process (ahp) - Green building design - Green building evaluation systems - Green buildings - Grey clustering - Index weight - Weight functions","401.1 Bridges - 402 Buildings and Towers - 537.1 Heat Treatment Processes - 723 Computer Software, Data Handling and Applications - 951 Materials Science - 961 Systems Science",,"","Fund Project: "Chunhui Project" Research Fund Project of the Ministry of Education "Research on Green Building Evaluation Index System in Qinghai Region" (Z2015061).","Open Access","Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
"The Study of Blind Source Separation Based on Sparsity and Decorrelation","20183505753592","Li, Jiahui (1) ","(1) School of Business Management, Shanghai University, Shangda Road 99, China ","Li, Jiahui(1055078250@qq.com) ","IOP Conference Series: Materials Science and Engineering","IOP Conf. Ser. Mater. Sci. Eng.","","Institute of Physics Publishing","394","5","","August 8, 2018","2018 5th International Conference on Advanced Composite Materials and Manufacturing Engineering - 4. Environmental Materials","","5 of 5","2018","English","17578981","1757899X","","","10.1088/1757-899X/394/5/052019","052019","2018 5th International Conference on Advanced Composite Materials and Manufacturing Engineering, ACMME 2018","June 16, 2018 - June 17, 2018","Xishuangbanna, Yunnan, China","138696","","Conference article (CA)","The main research of blind source separation algorithm is based on sparsity and decorrelation. The traditional sparse algorithm is used to estimate the mixed matrix by sparse signal then the source signal is reconstructed by optimizing function in time-frequency domain. But for some sparse signals, the separation effect is not ideal. The alternate decomposition algorithm can be used as the optimization method for the signal that is less sparse. Alternate decomposition approach is to update the mixed matrix in each iteration and estimate the source signals so that the parameters can be updated in each iteration, the sparse components can be obtained, and then the source signal is reconstructed. If a decorrelation step has been joined in every iteration, it can reduce the correlation between signals effectively, and get sparse and independent of composition in the separation process. It can greatly improve separation performance by this way. © 2018 Published under licence by IOP Publishing Ltd.","","4","Blind source separation","Bridge decks - Composite materials - Frequency domain analysis - Iterative methods - Manufacture - Signal reconstruction","Decomposition algorithm - Decomposition approach - Optimization method - Optimizing functions - Separation performance - Separation process - Sparse algorithms - Time frequency domain","401.1 Bridges - 537.1 Heat Treatment Processes - 716.1 Information Theory and Signal Processing - 921.3 Mathematical Transformations - 921.6 Numerical Methods - 951 Materials Science",,,,"Open Access","Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
"An Optimized Capacitor Voltage Balancing Method for Modular Multilevel Converter","20183505760549","Ding, Jincheng (1); Wang, Zhenshu (1); Wu, Chen (1); Du, Zixuan (1) ","(1) School of Electrical Engineering, Shandong University, Jinan; 250000, China ","Ding, Jincheng(djc8765@sina.com) ","IOP Conference Series: Materials Science and Engineering","IOP Conf. Ser. Mater. Sci. Eng.","","Institute of Physics Publishing","394","4","","August 8, 2018","2018 5th International Conference on Advanced Composite Materials and Manufacturing Engineering - 3. Energy Materials","","4 of 5","2018","English","17578981","1757899X","","","10.1088/1757-899X/394/4/042082","042082","2018 5th International Conference on Advanced Composite Materials and Manufacturing Engineering, ACMME 2018","June 16, 2018 - June 17, 2018","Xishuangbanna, Yunnan, China","138696","","Conference article (CA)","The problem of voltage balancing among the submodules (SM) in modular multilevel converter (MMC) urgently needs to be solved. This paper compares traditional voltage balancing method with the sorting method based on two maintaining factors in terms of voltage balancing effects and switching frequency. Upper limits of voltage difference are set in a gesture to combine these two methods, which can realize the balance between voltage balancing effects and switching frequency. The model of MMC with 20 submodules on each arm is realized by MATLAB/Simulink, and the improved method is verified. The simulation results demonstrate that the improved method is reasonable and effective. © Published under licence by IOP Publishing Ltd.","","7","Power converters","Bridge decks - Manufacture - MATLAB - Metallic matrix composites","Capacitor voltage balancing - MATLAB /simulink - Modular multi-level converters - Sorting method - Submodules - Upper limits - Voltage balancing - Voltage difference","401.1 Bridges - 531 Metallurgy and Metallography - 537.1 Heat Treatment Processes - 921 Mathematics",,,,"Open Access","Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
"Research and Design of multifunctional nursing bed for Elderly People","20183505756633","Zhan, Guangdan (1); Lyu, Jianhua (1); Chen, Ming (1) ","(1) College of Forestry, Sichuan Agricultural University, Chengdu, China ","Chen, Ming(chenming@sicau.edu.cn) ","IOP Conference Series: Materials Science and Engineering","IOP Conf. Ser. Mater. Sci. Eng.","","Institute of Physics Publishing","394","3","","August 8, 2018","2018 5th International Conference on Advanced Composite Materials and Manufacturing Engineering - 2. Engineering Materials and Manufacturing Engineering","","3 of 5","2018","English","17578981","1757899X","","","10.1088/1757-899X/394/3/032131","032131","2018 5th International Conference on Advanced Composite Materials and Manufacturing Engineering, ACMME 2018","June 16, 2018 - June 17, 2018","Xishuangbanna, Yunnan, China","138696","","Conference article (CA)","The growth of elderly population has promoted the increasing needs of the geriatric nursing industry. However, geriatric nursing products are quite rare. The functions of current nursing bed in the market are quite simple and lack of completeness, which leads to few detailed design for elder people's life. This paper focus on building design philosophy of the nursing bed for elderly people and attempting to design multifunctional nursing beds that could solve elderly people's living problems by following old people's behaviour. © Published under licence by IOP Publishing Ltd.","","5","Architectural design","Bridge decks - Composite materials - Manufacture - Nursing - Population statistics","Barrier-Free Design - Building design - Detailed design - Elder peoples - Elderly people - Elderly populations - Nursing beds - Old people","401.1 Bridges - 402 Buildings and Towers - 461.7 Health Care - 537.1 Heat Treatment Processes - 951 Materials Science",,,,"Open Access","Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
"National Fragile Degree of Climate Change Based on Catastrophe Progression Method and Correlation Analysis","20183505753506","Jian, Yue (1); Zhang, Hepeng (1) ","(1) School of Beijing Technology, Business University, Beijing, China ","","IOP Conference Series: Materials Science and Engineering","IOP Conf. Ser. Mater. Sci. Eng.","","Institute of Physics Publishing","394","5","","August 8, 2018","2018 5th International Conference on Advanced Composite Materials and Manufacturing Engineering - 4. Environmental Materials","","5 of 5","2018","English","17578981","1757899X","","","10.1088/1757-899X/394/5/052058","052058","2018 5th International Conference on Advanced Composite Materials and Manufacturing Engineering, ACMME 2018","June 16, 2018 - June 17, 2018","Xishuangbanna, Yunnan, China","138696","","Conference article (CA)","Nowadays, more and more attention is focused on climate change and environmental problems which are caused by human factors. In the meantime, climate change is directly or indirectly affecting the development of countries. There are plenty articles, which provide the definition about vulnerability of countries, have analyzed and evaluated the climate influence on different area. Quantitative index, however, are not obtained to reflect the impact of climate change on countries globally. This paper will discover the relationship between climate change and national fragile degree by using catastrophe progression method. Five levels of fragile degree are set to evaluate the national condition. After analyzing climate factors the precipitation, mean temperature and CO2 emissions are the biggest factors which have dominant influence on national fragile degree. Then linear regression is used to establish precipitation-mean temperature-CO2 emissions model (PMC), which shows how these factors affect fragile degree and how to reduce the effect. © 2018 Published under licence by IOP Publishing Ltd.","","10","Climate change","Bridge decks - Carbon dioxide - Composite materials - Manufacture","Catastrophe progression method - Climate factors - CO2 emissions - Correlation analysis - Environmental problems - Mean temperature - National conditions - Quantitative indices","401.1 Bridges - 443.1 Atmospheric Properties - 537.1 Heat Treatment Processes - 804.2 Inorganic Compounds - 951 Materials Science",,,,"Open Access","Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
"Quantum algorithm for polynomial root finding problem","20150800546383","Sun, Guodong (1); Su, Shenghui (1); Xu, Maozhi (2) ","(1) College of Computer Science, Beijing University of Technology, Beijing, China (2) School of Mathematics Sciences, Peking University, Beijing, China ","","Proceedings - 2014 10th International Conference on Computational Intelligence and Security, CIS 2014","Proc. - Int. Conf. Comput. Intell. Secur., CIS","Aviation Key Laboratory of Science and Technology on Airborne and Missileborne Computer; Beijing Normal University; Guangdong University of Technology; IEEE CPS; Shenzhen University; Xidian University","Institute of Electrical and Electronics Engineers Inc.","","","469-473","January 20, 2015","","","1of1","2015","English","","","","9781479974344","10.1109/CIS.2014.40","7016940","10th International Conference on Computational Intelligence and Security, CIS 2014","November 15, 2014 - November 16, 2014","Kunming, Yunnan, China","110202","","Conference article (CA)","Quantum computation is a new computing model based on fundamental quantum mechanical principle. Grover's algorithm finds the solution for a searching problem in the square root time of exhaustive search. Brassard, Hoyer, Tapp's algorithm counts the number of solutions for a searching problem. Through exploiting the two quantum algorithms, we propose a quantum algorithm for solving a new cryptography problem - polynomial root finding problem, which could be used to design a cryptosystem. The algorithm will take O(rootM/t) steps for finding one of the t solutions to the problem, where M is the modular of the equation. The success rate of the algorithm is a constant and the cost of the algorithm depends on the calculations of modular exponentiation and the number of iterations. © 2014 IEEE.","","22","Quantum theory","Polynomials - Quantum computers - Quantum cryptography","Grover's Algorithm - Modular Exponentiation - Number of iterations - Polynomial root findings - Quantum counting - Quantum mechanical - Quantum searching - Signature algorithms","722 Computer Systems and Equipment - 921.1 Algebra - 931.4 Quantum Theory; Quantum Mechanics",,,,,"Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
"Metabolic pathway analysis based on high-throughput sequencing in a batch biogas production process","20174304311079","Tian, Guangliang (1, 2, 3); Zhang, Wudi (1, 2, 3); Dong, Minghua (4); Yang, Bin (1, 2, 3); Zhu, Rui (1, 2, 3); Yin, Fang (1, 2, 3); Zhao, Xingling (1, 2, 3); Wang, Yongxia (4); Xiao, Wei (4); Wang, Qiang (5); Cui, Xiaolong (4) ","(1) Yunnan Research Center of Biogas Technology and Engineering, Yunnan Normal University, Kunming; 650500, China (2) Engineering and Research Center of Sustainable Development and Utilization of Bioenergy, Ministry of Education, Yunnan Normal University, Kunming; 650500, China (3) Yunnan Key Laboratory of Rural Energy Engineering, Yunnan Normal University, Kunming; 650500, China (4) Yunnan Institute of Microbiology, State Key Laboratory for Conservation and Utilization of Bio-Resources in Yunnan, Yunnan University, Kunming; 650091, China (5) School of Energy and Environment Science, Yunnan Normal University, Kunming; 650500, China ","Zhang, Wudi(wootichang@163.com) ","Energy","Energy","","Elsevier Ltd","139","","571-579","November 15, 2017","","","","2017","English","03605442","","","","10.1016/j.energy.2017.08.003","","","","","","ENEYDS","Journal article (JA)","Using high-throughput sequencing technology based on 16S rRNA genes and the determination of abiotic factors, the metabolic pathways and microbial community dynamics were analyzed in a batch biogas fermentation process with pig manure as the feedstock at 15 °C. The results showed the followings. 1) The decomposition rate of cellulose and semi-cellulose were close to maximal level at day 40.2) At the phylum level, the most dominant bacteria and archaea were Firmicutes and Euryarchaeota respectively. 3) Most dominant species maintained predominant positions even though the microbial community structure changed throughout the fermentation; in particular, the abundance of dominant bacteria increased when the biogas fermentation peak appeared. 4) The four most dominant bacterial species were involved in hydrolysis of cellulose and semi-cellulose. 5) The metabolic pathway and microbial composition in hydrolysis and acidogenesis are very similar, but those in acetogenesis and methanogenesis are different to some extent. The acetogenesis pathway almost disappeared between days 24 and 72.6) Even though the overall microbial communities consisted of >400 species, the key bacteria and archaea for hydrolysis, acidogenesis, acetogenesis, and methanogenesis comprised 13–15 species, and most of these species had high similarity (≥97%) to culturable strains. © 2017","","53","Bacteria","Biogas - Cellulose - Fermentation - Fertilizers - Hydrolysis - Manures - Metabolism - RNA - Throughput","Abiotic factors - Bacterial community - Biogas fermentation - High-throughput sequencing - Metabolic pathway analysis - Metabolic pathways - Microbial community dynamics - Microbial community structures","461.2 Biological Materials and Tissue Engineering - 802.2 Chemical Reactions - 804 Chemical Products Generally - 811.3 Cellulose, Lignin and Derivatives - 821.5 Agricultural Wastes",,"Number: 20135303110001, Acronym: -, Sponsor: -; Number: 2015KF07, Acronym: -, Sponsor: Shandong Provincial Key Laboratory of Software Engineering; Number: 31160123/C0309, Acronym: NSFC, Sponsor: National Natural Science Foundation of China; Number: -, Acronym: YNU, Sponsor: Yunnan University; Number: 2013DH041, Acronym: -, Sponsor: -; Number: -, Acronym: NSFC, Sponsor: National Natural Science Foundation of China; Number: 2014FA030, Acronym: -, Sponsor: Applied Basic Research Foundation of Yunnan Province; ","The authors thank the following for their generous grant funding: the National Natural Science Foundation of China (NSFC; 31160123/C0309 ); the Yunnan Provincial Sciences and Technology Platform Promotion Plan ( 2013DH041 ); the Specialized Research Fund for Doctoral Program of Universities ( 20135303110001 ); the Yunnan Province Key Fund of Applied Basic Research ( 2014FA030 ); and the Open Fund from Yunnan Provincial Renewable Energy Engineering Key Laboratory ( 2015KF07 ). The authors are also grateful to the staff of the Forestry Bureaus of Jianshui County. Our special thanks go to Long Han (doctoral student at Yunnan University), who provided help with bioinformatics methods. Appendix A",,"Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
"Study and Practice on Seat Products Design for Elderly People","20183505756632","Wang, Limei (1); Lyu, Jianhua (1); Chen, Ming (1) ","(1) College of Forestry, Sichuan Agricultural University, Chengdu, China ","Chen, Ming(chenming@sicau.edu.cn) ","IOP Conference Series: Materials Science and Engineering","IOP Conf. Ser. Mater. Sci. Eng.","","Institute of Physics Publishing","394","3","","August 8, 2018","2018 5th International Conference on Advanced Composite Materials and Manufacturing Engineering - 2. Engineering Materials and Manufacturing Engineering","","3 of 5","2018","English","17578981","1757899X","","","10.1088/1757-899X/394/3/032130","032130","2018 5th International Conference on Advanced Composite Materials and Manufacturing Engineering, ACMME 2018","June 16, 2018 - June 17, 2018","Xishuangbanna, Yunnan, China","138696","","Conference article (CA)","This paper is about seat devices for elderly people, firstly the future of furniture market for elderly people and the present situation of furniture products for elderly people were discussed. Combined with the humanization design principle, detailed factors concerning the design of elderly furniture were studied physiologically and psychologically from aspects of spiritual needs, ergonomic, colour and model. Concerning about problems in seat products design for elderly people, some patent examples and design cases were given to further discussion. © Published under licence by IOP Publishing Ltd.","","10","Seats","Bridge decks - Composite materials - Manufacture - Physiological models - Product design","demands - Elderly people - humanization - Humanization designs - Present situation","401.1 Bridges - 913.1 Production Engineering - 913.4 Manufacturing - 951 Materials Science",,,,"Open Access","Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
"Research on Application of Automobile New Energy and Energy Saving Technology","20183505760599","Wang, Yingshun (1) ","(1) Guangdong University of Science and Technology, Dongguan; 523083, China ","Wang, Yingshun ","IOP Conference Series: Materials Science and Engineering","IOP Conf. Ser. Mater. Sci. Eng.","","Institute of Physics Publishing","394","4","","August 8, 2018","2018 5th International Conference on Advanced Composite Materials and Manufacturing Engineering - 3. Energy Materials","","4 of 5","2018","English","17578981","1757899X","","","10.1088/1757-899X/394/4/042028","042028","2018 5th International Conference on Advanced Composite Materials and Manufacturing Engineering, ACMME 2018","June 16, 2018 - June 17, 2018","Xishuangbanna, Yunnan, China","138696","","Conference article (CA)","At the same time of rapid development of economy and science and technology, energy crisis and environmental pollution are becoming important issues affecting human survival and development. Energy conservation and environmental protection are becoming themes for the harmonious development of human society in the 21st century. Automobile fuel consumption and exhaust emissions have become the main cause of energy crisis and environmental pollution. For the sustainable development of human society, it is urgent to apply new energy and energy-saving technologies in the automotive industry to reduce energy consumption and environmental pollution. Researching new energy sources and energy-saving technologies for automobiles has become an important direction for the development of automobiles. The power for braking is shifting from gasoline to clean diesel, hybrid power, and fuel cells. This article briefly discusses the development and application of new automotive energy and energy-saving technologies. © Published under licence by IOP Publishing Ltd.","","4","Energy conservation","Automotive industry - Bridge decks - Composite materials - Energy policy - Energy utilization - Environmental protection - Environmental technology - Fuel cells - Fuel consumption - Manufacture - Pollution - Sustainable development","Development and applications - Energy conservation and environmental protections - Energy-saving technologies - Environmental pollutions - Harmonious development - New energy sources - Reduce energy consumption - Science and Technology","401.1 Bridges - 454 Environmental Engineering - 454.2 Environmental Impact and Protection - 525 Energy Management and Conversion - 537.1 Heat Treatment Processes - 702.2 Fuel Cells - 951 Materials Science",,,,"Open Access","Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
