Title,Accession number,Title of translation,Author,Author affiliation,Corresponding author,Source,Abbreviated source title,Sponsor,Publisher,Volume,Issue,Pages,Issue date,Monograph title,Part number,Publication year,Language,ISSN,E-ISSN,ISBN13,DOI,Article number,Conference name,Conference date,Conference location,Conference code,CODEN,Document type,Abstract,Abstract type,Number of references,Main heading,Controlled/Subject terms,Uncontrolled terms,Classification code,Treatment,Funding details,Funding text,Access type,Database,Copyright,Data Provider
"Cd isotope fractionation during sulfide mineral weathering in the Fule Zn-Pb-Cd deposit, Yunnan Province, Southwest China","20174504373007","","Zhu, Chuanwei (1, 2); Wen, Hanjie (1); Zhang, Yuxu (1); Yin, Runsheng (1); Cloquet, Christophe (3) ","(1) State Key Laboratory of Ore Deposit Geochemistry, Institute of Geochemistry, Chinese Academy of Sciences, Guiyang; 550081, China (2) Department of Civil and Environmental Engineering, University of Wisconsin–Madison, Madison; WI; 53706, United States (3) Centre de Recherches Petrographiques et Geochimiques, CNRS/UMR 7358, 15, Rue Notre-Dame-Pauvres, B. P. 20, Vandoeuvre-les-Nancy Cedex; 54501, France ","Wen, Hanjie(wenhanjie@vip.gyig.ac.cn) ","Science of the Total Environment","Sci. Total Environ.","","Elsevier B.V.","616-617","","64-72","March 2018","","","2018","English","00489697","18791026","","10.1016/j.scitotenv.2017.10.293","","","","","","STEVA8","Journal article (JA)","Zinc (Zn)-Lead (Pb) deposits are generally rich in cadmium (Cd), and the weathering of sulfide minerals in such deposits results in large releases of Cd into the environment. From an environmental and public health standpoint, understanding Cd sources and cycling is critical to identifying potential hazards to humans. In this study, the Cd isotope compositions (expressed as δ114/110Cd) of secondary minerals such as anglesite (− 0.57 ± 0.03‰; 2 S.D.), granular smithsonite (0.04 ± 0.14‰; 2 S.D.), layered smithsonite (0.15 ± 0.40‰; 2 S.D.), hydrozincite (0.26 ± 0.01‰; 2 S.D.) and clay minerals (− 0.01 ± 0.06‰; 2 S.D.) from the Fule Zn-Pb-Cd deposit, Southwest China, are investigated to better understand the Cd sources and cycling in this area. Combined with our previous study (Zhu et al., 2017), the work herein elucidates the patterns of Cd isotopic fractionation during the formation processes of such secondary minerals and traces the weathering of these minerals into the ecosystem. The δ114/110Cd values of secondary minerals exhibit the following decreasing trend: hydrozincite > large granular smithsonite > small granular smithsonite > anglesite. Although different amounts of Cd were lost during the formation of equally sized samples, no or minor variations in Cd isotopic composition were observed. However, significant isotopic differences were observed between different size fractions. These results demonstrate that the particle size of secondary minerals and weathering products of sulfide significantly influence Cd isotope composition and fractionation during natural weathering. This systematic fractionation provides an initial foundation for the use of Cd isotopes as environmental tracers in ecosystems and in the global Cd isotope budget. © 2017 Elsevier B.V.","","51","Cadmium alloys","Budget control - Cadmium sulfide - Clay deposits - Deposits - Ecosystems - Health hazards - Isotopes - Lead alloys - Particle size - Sulfate minerals - Ternary alloys - Weathering - Zinc alloys","Anglesite - Hydrozincite - Isotope fractionation - Natural weathering - Smithsonite","454.3 Ecology and Ecosystems - 461.7 Health Care - 482.2 Minerals - 505.1 Nonmetallic Mines - 546.1 Lead and Alloys - 546.3 Zinc and Alloys - 549.3 Nonferrous Metals and Alloys excluding Alkali and Alkaline Earth Metals - 804 Chemical Products Generally",,"Number: -, Acronym: -, Sponsor: Guizhou Science and Technology Department; Number: 41503011, Acronym: NSFC, Sponsor: National Natural Science Foundation of China; Number: 41573007, Acronym: NSFC, Sponsor: National Natural Science Foundation of China; ","This work was financially supported by the National Natural Science Foundation of China (Nos. 41503011 , 41573007 ), Science and Technology Foundation of Guizhou Province ( [2016]1159 ). Four anonymous reviewers and editor Filip M.G. Tack are hereby acknowledged for their thoughtful comments, which have significantly improved this manuscript. Appendix A",,"Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
"Characteristics of ore-forming fluids and their origin in Jinchangqing gold (copper) ore deposits in Xiangyun, Yunnan","2004418396667","","He, Ming-Qin (1, 2); Yang, Shi-Yu (2); Liu, Jia-Jun (3); Li, Chao-Yang (1) ","(1) Opening Lab. of Ore Deposit Geochem., Institute of Geochemistry, Chinese Academy of Sciences, Guiyang 550002, China (2) Land Resources Engineering Faculty, Kunming Univ. of Science/Technology, Kunming 650093, China (3) China University of Geosciences, Beijing 100083, China ","He, M.-Q. ","Kuangwu Yanshi","Kuangwu Yanshi","","Kuangwu Yanshi","24","2","35-40","June 2004","","","2004","Chinese","10016872","","","","","","","","","","Journal article (JA)","Based on the study of primary fluid inclusions using hydrogen and oxygen isotopes, it is considered that the earyl stage ore-forming fluid from Jinchangqing gold (copper) ore deposits was sulfate hot brine. This was of intermediate temperature and salinity and originated from the late stage ore-forming fluid under acidic and a reductive environment. However, the late stage ore-forming fluid was a sort of low temparature and salinity chloride hot brine originated from a lower pressure, acidic and more oxidative environment. The ore fluids were from(the late stage) or mainly from(the early stage) meteoric ground water which had a heavier oxygen isotope composition (12‰∼17‰) than the original rain water(δ18O= -15.3‰) formed during the gold mineralization. It resulted from the exchange of oxygen isotopes during the reaction between ore-forming fluid water and wallrock under a lower water/rock ratio.","(Edited Abstract)","28","Ore analysis","Fluid dynamics - Fluids - Forming - Ores","Ore-forming fluids","482.2 Minerals - 533.1 Ore Treatment - 631 Fluid Flow - 931.1 Mechanics","Theoretical (THR)",,,,"Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
"Accumulation of Pb, Cu, and Zn in native plants growing on contaminated sites and their potential accumulation capacity in Heqing, Yunnan","20085211801571","","LIU, Xiaohai (1); GAO, Yuntao (2); Khan, Sardar (3, 4); DUAN, Gang (1); CHEN, Aikui (5); LING, Li (6); ZHAO, Lei (1); LIU, Zhonghan (1); WU, Xuecan (1) ","(1) Yunnan Institute of Environmental Science, Kunming, 650034, China (2) School of Chemistry and Bio-Science, Yunnan Nationalities University, Kunming, 650031, China (3) Department of Soil Environmental Sciences, Research Center for Eco-Environmental Sciences, CAS, Beijing, 100085, China (4) Department of Environmental Sciences, University of Peshawar, 25120 Peshawar, Pakistan (5) Department of Biology, Guangdong Institute of Educations, Guangzhou, 510303, China (6) College of Baoshan Teacher, Baoshan, 678000, China ","LIU, X.(lxh@yies.org.cn) ","Journal of Environmental Sciences","J. Environ. Sci.","","Chinese Academy of Sciences","20","12","1469-1474","2008","","","2008","English","10010742","","","10.1016/S1001-0742(08)62551-6","","","","","","","Journal article (JA)","Phytoremediation is one of the cost-effective and environmental friendly technologies used to remove contaminants from contaminated soils, which has been intensively studied during the last decade. Presently, few economical and effective remediation methods are available for the remediation of Pb contaminated sites. This study was conducted to assess the potential of 19 plants growing on contaminated sites in Pb mine area. Plants and associated soil samples were collected and analyzed for total metal concentrations. While total soil Pb, Cu and Zn concentrations varied from 1,239 to 4,311, 36 to 1,020 and 240 to 2,380 mg/kg, those in the plant shoots ranged from 6.3 to 2,029, 20 to 570, and 36 to 690 mg/kg, respectively. Among the plants, we found that one cultivated crop (Ricinus communis L.) and two native species (Tephrosia candida and Debregeasia orientalis) have a great potential for phytoremediation of Pb contaminated soils, the Pb hyperaccumulation capacity of the 3 plants was found as the order: R. communis > D. orientalis > T. candida in the investigated area. © 2008 The Research Centre for Eco-Environmental Sciences, Chinese Academy of Sciences.","","26","Soil pollution","Bioremediation - Candida - Contamination - Cost effectiveness - Crops - Cultivation - Environmental technology - Lead mines - Remediation - Soils - Yeast","accumulator - Contaminated sites - Contaminated soils - Cultivated crops - Environmental-friendly technology - Metal concentrations - Pb-contaminated soil - Remediation methods","454 Environmental Engineering - 454.2 Environmental Impact and Protection - 461.9 Biology - 483.1 Soils and Soil Mechanics - 504.3 Heavy Metal Mines - 821.3 Agricultural Methods - 821.4 Agricultural Products - 822.3 Food Products - 911.2 Industrial Economics",,"Number: 2002CB412310, Acronym: -, Sponsor: National Basic Research Program of China (973 Program); Number: 2006py01-41, Acronym: -, Sponsor: -; Number: 2005Y10, Acronym: -, Sponsor: International Science and Technology Cooperation Programme; ","This work was financially supported by the National Basic Research Program of China (No. 2002CB412310), the Yunnan Science and Technology Human Development Program (No. 2006py01-41), the Yunnan Science and Technology Cooperation Programm (No. 2005Y10) and the Yunnan Environmental Science Development Program.",,"Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
"Source rupture process of the 2014 Ms 6.5 Ludian, Yunnan, China, earthquake in 3D structure: The strain green’s tensor database approach","20185206284971","","Luo, Yan (1); Hsieh, Ming-Che (2); Zhao, Li (3) ","(1) Institute of Earthquake Forecasting China Earthquake Administration, 63 Fuxing Road, Haidian District, Beijing; 100036, China (2) Disaster Prevention Technology Research, CentSinotech Engineering Consultants Inc, 280 Xinhu Second Road, Neihu District, Taipei; 11494, Taiwan (3) School of Earth and Space Sciences, Peking University, 5 Yiheyuan Road, Haidian District, Beijing; 100871, China ","Zhao, Li(lizhaopku@pku.edu.cn) ","Bulletin of the Seismological Society of America","Bull. Seismol. Soc. Am.","","Seismological Society of America, 201 Plaza Professional Building, El Cerrito, CA 94530, United States","108","6","3270-3277","December 2018","","","2018","English","00371106","19433573","","10.1785/0120180090","","","","","","BSSAAP","Journal article (JA)","Reliable source slip-distribution models of moderate and large earthquakes are important not only for understanding earthquake source physics but also for making realistic seismic hazard assessments. In this study, we carry out the inversion for finite-fault rupture process of the 2014 Ms 6.5 Ludian earthquake in a structural model with 3D velocity heterogeneity and surface topography. To ensure efficiency in calculating 3D synthetics during slip-distribution inversions, a database of strain Green’s tensors (SGTs) is established for the structural model. We then use the SGT database approach to perform the source slip-distribution inversion for the Ludian earthquake using regional broadband seismic records. The accommodation of lateral velocity heterogeneity and surface topography reduces modeling errors in source inversion. The finite-fault slip model indicates that the Ludian earthquake rupture initiated from the hypocenter and propagated southeastward and upward, reaching the ground surface with a surface rupture of ∼16 km in length and a maximum left-lateral slip of ∼1:2 m, in agreement with the findings of field surveys after the earthquake. © 2018, Seismological Society of America. All rights reserved.","","35","Fault slips","Database systems - Earthquakes - Surface topography - Tensors","Database approaches - Earthquake rupture - Earthquake source - Large earthquakes - Lateral velocities - Seismic hazard assessment - Source rupture process - Structural modeling","484 Seismology - 484.1 Earthquake Measurements and Analysis - 723.3 Database Systems - 921.1 Algebra - 931.2 Physical Properties of Gases, Liquids and Solids",,"Number: SKLGED2018-4-3-E, Acronym: CAS, Sponsor: Chinese Academy of Sciences; ","The authors thank Editor-in-Chief Thomas Pratt and three anonymous reviewers for their thoughtful comments, which helped improve the clarity of our presentation. Y. L. has been supported by the Basic Research Fund of the Institute of Earthquake Forecasting, China Earthquake Administration (2015IES010302) and State Key Laboratory of Geodesy and Earth’s Dynamics, Institute of Geodesy and Geophysics, Chinese Academy of Sciences (SKLGED2018-4-3-E). All figures have been plotted by the Generic Mapping Tools (GMT) of Wessel and Smith (1998).",,"Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
"Detrital zircon U–Pb geochronological and sedimentological study of the Simao Basin, Yunnan: Implications for the Early Cenozoic evolution of the Red River","20173404064232","","Chen, Yi (1, 2); Yan, Maodu (1, 3); Fang, Xiaomin (1, 3); Song, Chunhui (4); Zhang, Weilin (1, 3); Zan, Jinbo (1, 3); Zhang, Zhiguo (1, 2); Li, Bingshuai (1, 2); Yang, Yongpeng (1, 2); Zhang, Dawen (1, 3) ","(1) Key Laboratory of Continental Collision and Plateau Uplift, Institute of Tibetan Plateau Research, Chinese Academy of Science, Beijing, China (2) University of Chinese Academy of Sciences, Beijing, China (3) CAS Center for Excellence in Tibetan Plateau Earth Sciences, Beijing, China (4) School of Earth Sciences, Key Laboratory of Western China's Mineral Resources (Gansu Province), Lanzhou University, Lanzhou, China ","Yan, Maodu(maoduyan@itpcas.ac.cn) ","Earth and Planetary Science Letters","Earth Plan. Sci. Lett.","","Elsevier B.V.","476","","22-33","15 October 2017","","","2017","English","0012821X","","","10.1016/j.epsl.2017.07.025","","","","","","","Journal article (JA)","The paleo-Red River is suggested to have been a continental-scale drainage system connecting the Tibetan Plateau to the South China Sea. However, the evolution of the paleo-Red River is still under debate. This study presents new results from sedimentological analyses and detrital zircon U–Pb geochronologic data from fluvial sedimentary rocks of Paleocene to Oligocene age of the Simao Basin to constrain the nature of the paleo-drainage system of the Red River. The detrital zircon U–Pb results reveal multiple age groups at 190–240 Ma, 260–280 Ma, 450–540 Ma, 1700–1900 Ma and 2400–2600 Ma for the Paleocene to late Eocene Denghei Formation (Fm.), but only one conspicuous peak at 220–240 Ma for the late Eocene–Oligocene Mengla Fm. Provenance analyses illustrate that the former likely had source areas that included the Hoh-Xil, Songpan-Ganzi, northern Qiangtang, Yidun and western Yangtze Terranes, which are consistent with the catchments of the Upper and Lower Jinshajiang Segments, whereas the latter mainly transported material from a limited number of sources, such as the Lincang granitic intrusions west of the Simao Basin. Integrated with available detrital zircon U–Pb geochronologic and paleogeographic data, our study suggests the existence of a paleo-Red River during the Paleocene to late Eocene that was truncated and lost its northern sources after approximately 35 Ma, due to left-lateral strike-slip faulting of the Ailao Shan–Red River and clockwise rotation of the Lanping–Simao Terrane. © 2017 Elsevier B.V.","","67","Rivers","Catchments - Drainage - Geochronology - Sedimentary rocks - Silicate minerals - Strike-slip faults - Zircon","Cenozoic - Detrital zircon - Provenance analysis - Red River - Sedimentological analysis - Strike slip faulting - Tibetan Plateau - Transported materials","481.1 Geology - 482.2 Minerals - 482.2.1 Gems - 484.1 Earthquake Measurements and Analysis",,"Number: XDB03020400, Acronym: CAS, Sponsor: Chinese Academy of Sciences; Number: 2013CB956400, Acronym: -, Sponsor: -; Number: 2017YFC0602803, Acronym: -, Sponsor: -; Number: 41620104002, Acronym: NSFC, Sponsor: National Natural Science Foundation of China; Number: 41272185, Acronym: NSFC, Sponsor: National Natural Science Foundation of China; Number: 41672358, Acronym: NSFC, Sponsor: National Natural Science Foundation of China; Number: -, Acronym: NSFC, Sponsor: National Natural Science Foundation of China; ","This work was supported by the National Basic Research Program of China (grant Nos. 2013CB956400 and 2017YFC0602803), the Strategic Priority Research Program of the Chinese Academy of Sciences (grant No. XDB03020400), and the National Natural Science Foundation of China (NSFC) (grant Nos. 41272185, 41672358 and 41620104002). We are thankful to Editor An Yin and two anonymous reviewers for their detailed and critical reviews to improve the manuscript. Xiaohui Fang, Jing Bao, Yahui Yue, Xiangli Ding, Wei Yao and Houqi Wang are thanked for the fieldwork and laboratory assistance.",,"Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
"Continental hydrothermal sedimentary siliceous rock and genesis of superlarge germanium (Ge) deposit hosted in coal: A study from the Lincang Ge deposit, Yunnan, China","2005319273206","","Qi, Huawen (1, 2); Hu, Ruizhong (1); Su, Wenchao (1); Qi, Liang (1); Feng, Jiayi (1) ","(1) Key Laboratory of Ore Deposit Geochemistry, Chinese Academy of Sciences, Guiyang 550002, China (2) Department of Earth Sciences, Nanjing University, Nanjing 210093, China ","Qi, H.(qihuawen@sina.com) ","Science in China, Series D: Earth Sciences","Sci. China Ser. D Earth Sci.","","Science in China Press","47","11","973-984","November 2004","","","2004","English","10069313","","","10.1360/02yc0141","","","","","","","Journal article (JA)","There are abundant hydrothermal sedimentary structures and plant fragment fossils in the siliceous rocks from the Lincang Ge deposit. The major element compositions of these siliceous rocks are characterized by high content SiO2, low TiO2 and Al2O3 concentrations, and low Al/ (Al+Fe+Mn) ratios (0.010 on average). The siliceous rocks are distinctly enriched in Ge, Sb, As, W, and secondly enriched in Cs, U, Mo and TI. Their total REE content are generally less than 1 μg/g, LREE relatively concentrated, and the values of Eu anomaly and Ce anomaly vary from 0.452 to 5.141 and 0.997 to 1.174, respectively. Their NAS-normalized REE patterns are plain or left-inclined. The Oxygen isotope compositions of these siliceous rocks are similar to those of the hydrothermal siliceous sinter. The above characteristics, as well as the geological setting of the deposit, indicate these siliceous rocks formed in continental hydrothermal environment. As the interlayer or cliff of the Ge-rich coal seams, siliceous rocks tightly contacted with ore-body, and the contents of Ge in siliceous rocks vary from 5.6 to 360 μg/g on average). The Ge content increased in coal which close to the siliceous rocks. With the increase of Ge content, the typical trace element ratios (i.e., Ge/Ga, Nb/Ta and U/Th) and REE patterns of Ge-rich coal are more close to those of the siliceous rocks. The Ge concentrated in coal seams of the Lincang Ge deposit might be transported by the hydrothermal water, which demonstrated by the siliceous rocks, during the coal-forming processes. Copyright by Science in China Press 2004.","","28","Sedimentary rocks","Coal - Geology - Germanium - Isotopes - Oxygen","Coal seams - Geological setting - Hydrothermal water - Siliceous rocks","481.1 Geology - 482.2 Minerals - 524 Solid Fuels - 549.3 Nonferrous Metals and Alloys excluding Alkali and Alkaline Earth Metals - 803 Chemical Agents and Basic Industrial Chemicals - 804 Chemical Products Generally","Theoretical (THR)","Number: G1999043210, Acronym: -, Sponsor: -; Number: 40302018, Acronym: NSFC, Sponsor: National Natural Science Foundation of China; ","Acknowledgements This work was jointly supported by the State Key Fundamental Research Developing and Planning Program of China (Grant No. G1999043210) and the National Natural Science Foundation of China (Grant No. 40302018).",,"Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
"The source of metals in the Qilinchang Zn-Pb deposit, Northeastern Yunnan, China: Pb-Sr isotope constraints","2001436701210","","Zhou, Chaoxian (1); Wei, Chunsheng (2); Guo, Jiyun (3); Li, Chaoyang (1) ","(1) Ore Deposits Geochemistry Laboratory, Institute of Geochemistry, Chinese Academy of Sciences, P. O. Box 91, Guiyang 550002, China (2) Department of Earth and Space Sciences, University of Science and Technology of China, Jinzhai Rd., Hefei 230026, China (3) Shandong Build Material Vocational School, Liaocheng, Shandong 252000, China ","Zhou, C.(c.zhou@fm365.com) ","Economic Geology","Econ. Geol.","","Society of Economic Geologists, Inc","96","3","583-598","May/June 2001","","","2001","English","03610128","","","10.2113/gsecongeo.96.3.583","","","","","","ECGLAL","Journal article (JA)","Qilinchang, a Mississippi Valley-type Zn-Pb deposit, has essentially homogeneous lead isotope compositions as follows: 206Pb/204Pb = 18.432 to 18.487 (i.e., 18.460±0.15%), 207Pb/204Pb = 15.664 to 15.720 (i.e., 15.697±0.18%), and 208Pb/204Pb = 38.729 to 38.874 (i.e., 38.833±0.19%). Strontium isotope compositions at the time of mineralization were relatively heterogeneous: 87Sr/86Sr = 0.7170 for pyrite, 0.7138 to 0.7180 for sphalerite, 0.7109 to 0.7143 for galena, and about 0.7158 to 0.7168 for calcite. The mineralizing metals of the Qilinchang ore deposit, Pb and Zn, have only one source rock. The Pb isotope compositions of sulfides of the deposit are essentially the same as those of the Upper Proterozoic (i.e., lower Sinian) igneous rock suite, if the preferential migration of Pb isotopes during the leaching and the in situ radiogenic Pb back correction are taken into account. The 207Pb/206Pb ratios of sulfides in the deposit are notably high (0.850-0.851), which suggests that this ore deposit contains material with very old signatures. On the basis of kinetic and thermodynamic calculations of water/rock interaction, we obtain a value of about 0.745 of source rock 87Sr/86Sr for the mineralizing metals. This value is similar to that of the lower Sinian igneous rock suite at the time of mineralization. That the lower Sinian igneous rock suite served as the source is also favored by its characteristic of leachability and its content of metals in this and other geologic bodies.","","72","Geology","Calcite - Lead - Rocks - Strontium - Thermodynamics - Zinc","Kinetic calculations","804.2 Inorganic Compounds - 641.1 Thermodynamics - 549.2 Alkaline Earth Metals - 546.3 Zinc and Alloys - 546.1 Lead and Alloys - 482.2 Minerals - 481.1 Geology","Theoretical (THR)",,,,"Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
"Characterization of drought development through remote sensing: A case study in Central Yunnan, China. Remote sensing, 2014, 6, 4998-5018","20163802811026","","Abbas, Sawaid (1); Nichol, Janet E. (1); Qamer, Faisal M. (2); Xu, Jianchu (3) ","(1) Department of Land Surveying and Geo-Informatics, The Hong Kong Polytechnic University, Kowloon, Hong Kong (2) International Center for Integrated Mountain Development (ICIMOD), Kathmandu; 44700, Nepal (3) World Agroforestry Center, East and Central Asia, Kunming; 650201, China ","Nichol, Janet E.(lsjanet@polyu.edu.hk) ","Remote Sensing","Remote Sens.","","MDPI AG, Postfach, Basel, CH-4005, Switzerland","6","6","4998-5018","2014","","","2014","English","","20724292","","10.3390/rs6064998","","","","","","","Journal article (JA)","","","93",,,,,,,,"Open Access","Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
"Late permian to early triassic tectonostratigraphy of madeng area, northwestern yunnan, S. W. China: Volcanics zircon U-Pb dating","20163502749350","","Ang, Jing (1); Xue, Chuan Dong (1); Yang, Tian Nan (2); Liang, Ming Juan (2); Xiang, Kun (1); Lia, Cheng (1); Jiang, Li Li (2); Xin, Di (2) ","(1) Department of Earth Sciences, Kunming University of Science and Technology, Kunming; 650093, China (2) Institute Of Geology, Chinese Academy of Geological Sciences, Beijing; 100037, China ","","Yanshi Xuebao/Acta Petrologica Sinica","Yanshi Xuebao/Acta Petrol. Sin.","","Science Press","32","8","2535-2554","2016","","","2016","Chinese","10000569","20958927","","","","","","","","","Journal article (JA)","Mainly due to the bad outcrops, the basement composition of the Lanping Basin is not very clear, which has led to confusion in tectonostratigraphic division. Detailed field study along the eastern margin revealed two tectonostratigraphic units for the basement of the Lanping basin: A volcanic-sedimentary sequence in upper, and a shallow marine facies unit in bottom. The total thickness of the volcanic-sedimentary unit is (1200m, consisting of rhyolitic lava, dacitic lava, dacitic or rhyoltic conglomerate and tuff, and minor sedimentary rocks, which form four volcanic sequences. LA-I(CP-MS U-Pb dating results of the zircons from the volcanic rocks demonstrate that, the volcanism started at 250Ma and continued to 244Ma, i. e., from Early Triassic. We infer that the volcanic rocks are part of the Paleotethyan Jomda-Weixi-Yunxian arc belt. The shaUow marine facies and the volcanic rocks showed the fault contact relationship, and the former overlaid on the latter. So the shaUow marine facies must be older than Early Triassic. LA- ICP-MS U-Pb dating of detrital zircons indicates that, the sedimentary rocks are younger than 260Ma. Thus, the shallow marine facies rocks belong to Late Permian, which along with the Early Triassic volcanic rocks form the basement of the Mesozoic Lanping Basin.","","48","Sedimentary rocks","Binary alloys - Buildings - Geochronology - Lead alloys - Sedimentology - Silicate minerals - Tungsten alloys - Volcanic rocks - Volcanoes - Zircon","Eastern margin of lanping basin - Late Permian - Orogenic belts - Triassic - Zircon U-Pb dating","402 Buildings and Towers - 481.1 Geology - 482.2 Minerals - 482.2.1 Gems - 484 Seismology - 543.5 Tungsten and Alloys - 546.1 Lead and Alloys",,,,,"Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
"In-situ LA-ICP-MS trace elements analysis of scheelites from the giant Beiya gold–polymetallic deposit in Yunnan Province, Southwest China and its metallogenic implications","20163702790241","","Fu, Yu (1, 2, 4); Sun, Xiaoming (1, 2, 3, 4); Zhou, Haoyang (2, 3); Lin, Hai (1, 2); Jiang, Liyi (2, 3); Yang, Tianjian (2, 3) ","(1) School of Marine Sciences, Sun Yat-sen University, Guangzhou; 510006, China (2) Guangdong Provincial Key Laboratory of Marine Resources and Coastal Engineering, Guangzhou; 510275, China (3) School of Earth Science and Geological Engineering, Sun Yat-sen University, Guangzhou; 510275, China (4) South China Sea Bio-Resource Exploitation and Utilization Collaborative Innovation Center, Guangzhou; 510006, China ","Sun, Xiaoming(eessxm@mail.sysu.edu.cn) ","Ore Geology Reviews","Ore Geol. Rev.","","Elsevier B.V.","80","","828-837","January 1, 2017","","","2017","English","01691368","","","10.1016/j.oregeorev.2016.08.030","","","","","","","Journal article (JA)","The Beiya gold–polymetallic deposit, located in the middle of the Jinshajiang–Ailaoshan alkaline porphyry metallogenic belt, is the largest skarn gold deposit in China. Scheelite is a typical hydrothermal mineral which can serve as mineralization process tracer and is significant for the hydrothermal deposit study. In this paper, we present in-situ LA-ICP-MS scheelite geochemical data from the different parts of the skarn mineralization in the Beiya deposit. The data indicate that the Beiya scheelite has high Mo (average: 38,943 ppm) and high LREE/HREE (average: 29.6), resembling typical skarn-type scheelite. The mechanism of REE substitution of Ca in the Beiya scheelite was probably 3Ca2 + = 2REE3 + + Ca, which implies that the scheelite inherited its REE composition from magma-derived ore-forming fluids. The scheelite from near the marble shows negative Eu anomaly (average δEu: 0.45), indicating an oxidizing condition, whereas that from near the porphyry shows positive Eu anomaly (average δEu: 3.58), indicating a reducing environment. Scheelite from the sandstone-hosted stratiform orebody shows slight and variable Eu anomalies (δEu: 0.66–1.47), indicating possible fluctuating physicochemical conditions. Our data demonstrate an increasing oxygen fugacity (fO2) trend from the ore-related intrusion to the surrounding carbonates at Beiya. The Rb/Sr, Nb/Ta and Zr/Hf ratios of the Beiya scheelite suggest an addition of mantle-derived components to the ore-forming materials of the Beiya deposit. © 2016 Elsevier B.V.","","50","Gold deposits","Deposits - Europium - Inductively coupled plasma mass spectrometry - Mass spectrometers - Mineralogy - Trace analysis - Trace elements - Tungstate minerals","Beiya - Himalayan Orogeny - La-ICP-MS - Sanjiang - Scheelite","482 Mineralogy - 482.2 Minerals - 547.1 Precious Metals - 547.2 Rare Earth Metals - 801 Chemistry",,"Number: 200805580031, Acronym: -, Sponsor: -; Number: 2015CB452604, Acronym: -, Sponsor: -; Number: 2015M582457, Acronym: -, Sponsor: China Postdoctoral Science Foundation; Number: 2011, Acronym: -, Sponsor: -; Number: U1302233, Acronym: NSFC, Sponsor: National Natural Science Foundation of China; Number: 40830425, Acronym: NSFC, Sponsor: National Natural Science Foundation of China; Number: 41602067, Acronym: NSFC, Sponsor: National Natural Science Foundation of China; Number: 41672071, Acronym: NSFC, Sponsor: National Natural Science Foundation of China; Number: 40673045, Acronym: NSFC, Sponsor: National Natural Science Foundation of China; ","This work was jointly funded by the National Natural Science Foundation of China (Grant No. U1302233 , 41602067 , 41672071 , 40830425 , 40673045 ), China Postdoctoral Science Foundation (No. 2015M582457 ), National Key Basic Research Program of Ministry of Science and Technology, China (Grant No. 2015CB452604 ), Higher School Specialized Research Fund for the Doctoral Program Funding Issue (Grant No. 200805580031 ), and the Project Supported by Guangdong Province Universities and Colleges Pearl River Scholar Funded Scheme (Grant No. 2011 ). Dr. Li Wenchang is thanked for his kind support during our field work and sampling. Finally, we would like to thank Professor Franco Pirajno, Editor-in-Chief of Ore Geology Reviews, and the two anonymous reviewers for their valuable and patient suggestions and comments to this manuscript",,"Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
"Finite element analysis for the regional tectonic stability of te Hutiaoxia region in the northwest of Yunnan","2004168117182","","Wang, Yun-Sheng (1); Wang, Shi-Tian (1); Li, Yu-Sheng (1); Xu, Mo (1); Jiang, Liang-Wen (2) ","(1) College of Environment/Civil Eng., Chengdu University of Technology, Chengdu, China (2) Second Inst. of Explor./Designation, Railway Ministry of China, China ","Wang, Y.-S. ","Journal of the Chengdu Institute of Technology","J. Chengdu Inst. Technol.","","Chengdu Institute of Technology","30","6","608-611","December 2003","","","2003","Chinese","10059539","","","","","","","","","CLIXFB","Journal article (JA)","Based on finite element analysis, the authors studied the regional stability of the Hutiaoxia region systematically. The result shows that the activities of the fractures change from place to place under the current regional stress-field. The activity of NW strike Zhongdian-Yongsheng fracture is most active and the safety degree is lowest, that of NE strike Lijiang-Xiaojinhe fracture is modest, and that of nearly SN fracture such as Chubo-Baihanchang fracture is weak and its safety degree is highest.","","3","Tectonics","Accident prevention - Finite element method - Fracture - Geographical regions","Stress-fields - Tectonic stability","421 Strength of Building Materials; Mechanical Properties - 481.1 Geology - 914.1 Accidents and Accident Prevention - 921.6 Numerical Methods","Theoretical (THR)",,,,"Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
