Title,Accession number,Author,Author affiliation,Corresponding author,Source,Abbreviated source title,Sponsor,Publisher,Volume,Issue,Pages,Issue date,Monograph title,Part number,Publication year,Language,ISSN,E-ISSN,ISBN,ISBN13,DOI,Article number,Conference name,Conference date,Conference location,Conference code,CODEN,Document type,Abstract,Number of references,Main heading,Controlled/Subject terms,Uncontrolled terms,Classification code,Treatment,Funding details,Funding text,Access type,Database,Copyright,Data Provider
"Calculation of band gap structures of 2D square lattice photonic crystals using plan wave expansion method","20071110487260","Cun, Huanyao (1); Tan, Renbing (1); Wang, Rongli (1); Bai, Han (1); Zhang, Xi (1); Hu, Jiaguang (1); Zhang, Jin (1) ","(1) Department of Physics, Yunnan University, Kunming 650091, China ","Cun, H. ","Pan Tao Ti Hsueh Pao/Chinese Journal of Semiconductors","Pan Tao Ti Hsueh Pao","","Science Press, 18,Shuangqing Street,Haidian, Beijing, 100085, China","27","SUPPL.","64-67","December 2006","","","2006","Chinese","02534177","","","","","","","","","","PTTPDZ","Journal article (JA)","The band gap structures of two-dimensional (2D) square lattice photonic crystals are calculated using the plan wave expansion method. It gives a detail deduction for the electromagnetic wave theory of 2D photonic crystals and Bloch wave solutions in stratified periodic dielectric. Both TE and TM modes are considered in photonic crystals with no defects consisted of dielectric air cylinders and dielectric columns in air background. We get different dispersion curves, and designed two kinds of 2D photonic crystal periodical structures with band gaps in low-frequency ranges. It is found that the periodic dielectric constructed from air cylinders in Si matrix can generate an absolute photonic band gap in the infrared range for both TE and TM modes. The dependences of air cylinders or silicon rods radius and filling factors in the two kinds of photonic crystals are also studied in TM mode.","15","Photonic crystals","Calculations - Dielectric materials - Electromagnetic waves - Refractive index","Band gap structure - Plan wave expansion method - Square lattice","708.1 Dielectric Materials - 711 Electromagnetic Waves - 921 Mathematics","Theoretical (THR)",,,,"Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
"Measuring refractive index of micro-quantity liquid by focus method","20094512429596","Li, Qiang (1); Han, Guanghui (1); Xing, Mannan (1); Pu, Xiaoyun (1) ","(1) Department of Physics, Yunnan University, Kunming, Yunnan 650091, China ","Li, Q.(superman1232004@126.com) ","Guangxue Xuebao/Acta Optica Sinica","Guangxue Xuebao","","Chinese Optical Society","29","9","2468-2472","September 2009","","","2009","Chinese","02532239","","","","10.3788/AOS20092909.2468","","","","","","GUXUDC","Journal article (JA)","A new method for measuring the refractive index of micro-quantity liquid based on imaging principle of a coaxial spherical surface optical system is introduced. LED (λ=580 nm, FWHM: 32 nm) is used as light source and CCD camera as the equipment of receiving image. The required sample is less than 0.002 mL. The liquid to be measured is closed in a glass capillary, so that is benefited to measure the poisonous, volatile and absorptive liquid samples. Four liquid mediums, water, ethanol, ethylene glycol and glycerin have been measured, and the precision of obtained refractive index is 0.0001, 0.0002, 0.0003 and 0.0003, respectively. Based on an analysis on the sensitivity of refractive index and the depth of field of the measurement system, the ways to improve the measurement precision are proposed.","14","Refractive index","CCD cameras - Ethylene - Ethylene glycol - Glass - Light sources - Liquids - Optical systems","Depth of field - Glass capillaries - Imaging principle - Liquid sample - Measurement precision - Measurement system - Micro-quantity liquid - Spherical surface","714.2 Semiconductor Devices and Integrated Circuits - 741.1 Light/Optics - 741.3 Optical Devices and Systems - 804.1 Organic Compounds - 812.3 Glass",,,,,"Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
"Researches Regarding the Main Chain Vibrations Study of a Shaper","20180304662281","Bgnaru, D.G. (1); Stnescu, M.M. (2); Mirioiu, C.M. (1); Bolcu, D. (1); Ionic, V. (1) ","(1) Faculty of Mechanics, University of Craiova, Calea Bucuretu Street, No. 165, Dolj, Craiova; 200620, Romania (2) Applied Mathematics Department, University of Craiova, 13 A I Cuza, Dolj, Craiova; 200396, Romania ","Mirioiu, C.M.(miritoiucosmin@yahoo.com) ","IOP Conference Series: Materials Science and Engineering","IOP Conf. Ser. Mater. Sci. Eng.","","Institute of Physics Publishing","281","1","","December 21, 2017","1st International Workshop on Materials Science and Mechanical Engineering","1 of 1","2017","English","17578981","1757899X","","","10.1088/1757-899X/281/1/012025","012025","1st International Workshop on Materials Science and Mechanical Engineering, IWMSME 2017","October 27, 2017 - October 29, 2017","Kunming, Yunnan, China","133101","","Conference article (CA)","In this paper we highlight the importance of applying the integral transform for determining the partial dynamic response of the assembly tool - tool holder following the vibrations that appear during the working time. © Published under licence by IOP Publishing Ltd.","11","Integral equations","Condensed matter physics - Engineering - Industrial engineering - Materials science","Assembly tool - Integral transform - Main chains - Tool holders - Working time","912.1 Industrial Engineering - 921.2 Calculus - 951 Materials Science",,,,"Open Access","Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
"An approach to measuring the component cohesion based on structure entropy","20091411997424","Yu, Yong (1); Li, Tong (1); Zhao, Na (1); Dai, Fei (1) ","(1) School of Software, Yunnan University, Kunming, 650091, China ","Yu, Y.(yuy1219@163.com) ","Proceedings - 2008 2nd International Symposium on Intelligent Information Technology Application, IITA 2008","Proc. - Int. Symp. Intell. Inf. Technol. Appl., IITA","","IEEE Computer Society","3","","697-700","2008","Proceedings - 2008 2nd International Symposium on Intelligent Information Technology Application, IITA 2008","","2008","English","","","","9780769534978","10.1109/IITA.2008.156","4740087","2008 2nd International Symposium on Intelligent Information Technology Application, IITA 2008","December 21, 2008 - December 22, 2008","Shanghai, China","75557","","Conference article (CA)","The component plays an essential role in the component-based software engineering. The component cohesion is an important attribute in software system, which represents the tight degree of a component. Obviously, the high cohesion of a component can effectively improve software quality. However, it is difficult to measure the component cohesion. In this paper the concept of structure entropy and the software component is firstly overviewed. Secondly, the dependence relations in the component and the component dependence graph (CDG) are presented, and the component dependence graph (CDG) is made up of three sub-graph: IPTG, TOPG and TTG. Finally, based on component dependence graph and the concept of structure entropy, an approach is proposed to measure the component cohesion. © 2008 IEEE.","22","Entropy","Computer software selection and evaluation","Component-based software engineering - Dependence graphs - Dependence relation - Software component - Software Quality - Software systems - Structure entropy - Subgraphs","641.1 Thermodynamics - 723 Computer Software, Data Handling and Applications",,,,,"Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
"Manipulating optical tamm state in one dimensional magnetophotonic crystal by anisotropic materials","20113814347078","Lu, Gehao (1); Da, Jian (1); Mo, Qi (1); Chen, Pengwu (1) ","(1) School of Software, Yunnan University, Cuihu Bai Road, Kunming City, Yunnan Province 650091, China ","Da, J.(dajian521@sina.com) ","Physica B: Condensed Matter","Phys B Condens Matter","","Elsevier B.V.","406","21","4159-4162","November 1, 2011","","","2011","English","09214526","","","","10.1016/j.physb.2011.08.031","","","","","","PHYBE3","Journal article (JA)","Based on transfer matrix method a tunable optical tamm state is revealed in a one dimensional heterogeneous photonic crystal by using anisotropic materials with arbitrary optical axis. Such a tunable effect originates from the optical axis-dependent permittivity of the anisotropic materials, which leads to obvious changes in the dispersion relation and transmission spectrum. Our results provide a new pathway for engineering the tamm state and are attractive for tunable electro-optical devices. © 2011 Elsevier B.V. All Rights Reserved.","24","Transfer matrix method","Dispersions - Optical anisotropy - Photonic crystals - Surface states","Anisotropic material - Brillouin zones - Dispersion relations - Magnetophotonic crystals - Optical axis - Transmission spectrums","921 Mathematics - 931 Classical Physics; Quantum Theory; Relativity - 931.2 Physical Properties of Gases, Liquids and Solids - 932 High Energy Physics; Nuclear Physics; Plasma Physics - 951 Materials Science",,,,,"Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
"A dispersion sensor using whispering gallery modes in cylindrical micro-cavity","20091311986090","Yang, Rui (1); Bao, Yang (1); Yu, Wen-Hua (1); Wang, Xiang-Long (1); Ren, Yi-Tao (1); Pu, Xiao-Yun (1) ","(1) Department of Physics, Yunnan University, Kunming, Yunnan, China ","Pu, X.-Y. ","Proceedings of SPIE - The International Society for Optical Engineering","Proc SPIE Int Soc Opt Eng","","SPIE","7157","","","2009","2008 International Conference on Optical Instruments and Technology: Advanced Sensor Technologies and Applications","","2009","English","0277786X","","","","10.1117/12.806922","71570Z","2008 International Conference on Optical Instruments and Technology: Advanced Sensor Technologies and Applications","November 16, 2008 - November 19, 2008","Beijing, China","75968","PSISDG","Conference article (CA)","Whispering gallery modes (WGM) in a cylindrical micro-cavity of a silica optical fiber are excited with a tapered fiber of ˜ 7μm in diameter by evanescence field, and the WGM spectra of the cylindrical micro-cavity with different diameters (300 μm, 400μm and 500μm ) are measured. The resonant positions and their separations of the spectra are assigned precisely by an asymptotic formula. Considering the fiber dispersion and the errors induced from it, the values of the resonant position and its separation achieved from assignment within the experimental spectra rang(1290 ˜1320 nm)match well with a theoretical calculation and a measured accuracy of the refractive index of the micro-cavity can be as high as 10-5, which indicates that a dispersion sensor can be formed by measuring the dispersive features of WGM in a cylindrical micro-cavity. © 2009 SPIE.","17","Whispering gallery modes","Dispersion (waves) - Microcavities - Optical fibers - Optical instruments - Optical resonators - Refractive index - Silica","Assignment of mode - Asymptotic formula - Experimental spectra - Fiber dispersion - Silica optical fibers - Tapered fiber - Theoretical calculations","714 Electronic Components and Tubes - 714.3 Waveguides - 741 Light, Optics and Optical Devices - 941.3 Optical Instruments",,,,,"Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
"Linearly polarised three-colour lasing emission from an evanescent wave pumped and gain coupled fibre laser","20102212974077","Pu, Xiao-Yun (1); Jiang, Nan (1); Han, De-Yu (1); Feng, Yong-Li (1); Ren, Yi-Tao (1) ","(1) Department of Physics, Yunnan University, Kunming 650091, China ","Pu, X.-Y.(xypu@163.com) ","Chinese Physics B","Chin. Phys.","","Institute of Physics Publishing","19","5","0542071-0542077","2010","","","2010","English","16741056","","","","10.1088/1674-1056/19/5/054207","","","","","","","Journal article (JA)","A novel Whispering-Gallery-Mode (WGM) fibre laser, emitting linearly polarised three-colour light, is demonstrated by pumping and gain coupling with evanescent waves. The pump light is longitudinally coupled into a bare optical fibre immersed in a dye solution of lower refractive index. The dye molecules around the bare fibre are excited by the evanescent waves of pump light when they propagate along the fibre in a total internal reflection. When the pump beam within the fibre is a meridian beam, the WGM lasing emission from the fibre laser is a linearly polarised transverse electric wave, while it is a mixed wave of the linearly polarised transverse electric and magnetic waves if the pump beam is a skew beam within the fibre. Because the excited molecules are located within the evanescent field of WGM, a good spatial overlap between the dye gain and the evanescent field leads to a high pumping efficiency and a longer gain distance along the fibre. Once the bare fibre is inserted into three glass capillaries filled with Rhodamine 6G, 610 and 640 dye solutions, respectively, WGM laser oscillations at the wavelengths of 567-575, 605-614 and 656-666 nm occur simultaneously, and a linearly polarised three-colour lasing emission is achieved in a single optical fibre. © 2010 Chinese Physical Society and IOP Publishing Ltd.","19","Pumping (laser)","Color - Dies - Electromagnetic wave reflection - Evanescent fields - Fiber lasers - Molecules - Optical fibers - Optical resonators - Polarization - Refractive index - Whispering gallery modes","Evanescent wave - Excited molecules - Glass capillaries - Laser oscillations - Pumping efficiency - Total internal reflections - Transverse electric waves - Transverse electrics","534.1 Foundries - 701 Electricity and Magnetism - 711 Electromagnetic Waves - 714.3 Waveguides - 741 Light, Optics and Optical Devices - 744.1 Lasers, General - 744.4 Solid State Lasers - 931.3 Atomic and Molecular Physics",,,,,"Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
"A pricing algorithm for cloud computing resources","20113214218306","Li, Hao (1); Liu, Jianhui (1); Tang, Guo (1) ","(1) School of Software, Yunnan University, Kunming, China ","Li, H.(Lihao707@ynu.edu.cn) ","Proceedings - 2011 International Conference on Network Computing and Information Security, NCIS 2011","Proc. - Int. Conf. Network Comput. Inf. Secur., NCIS","","IEEE Computer Society","1","","69-73","2011","Proceedings - 2011 International Conference on Network Computing and Information Security, NCIS 2011","","2011","English","","","","9780769543550","10.1109/NCIS.2011.22","5948691","","","","","","Conference article (CA)","Currently, resource scheduling methods of cloud computing are mainly focused on scheduling and optimization of the underlying physical resources, but there is no satisfactory resource scheduling for providers from the aspect of economic principles in the cloud applications. In this paper, the cloud bank agent model as a resource agency, from the global perspective, it provides analysis and guidance for all participants, a price update iterative algorithm has been given, it analyses the historical utilization ratio of the resource, and iteration current prices constantly, get the availability of resources next time, the final price to users are expected to calculate. Experiment shows, based on historical usage of resources, the pricing algorithm are more conducive to safeguarding the interests of participants in the cloud resources. © 2011 IEEE.","13","Iterative methods","Cloud computing - Costs - Scheduling - Security of data","Cloud applications - Global perspective - Iterative algorithm - Physical resources - Pricing algorithm - Resource utilizations - Resource-scheduling - Utilization ratios","722.4 Digital Computers and Systems - 723.2 Data Processing and Image Processing - 911 Cost and Value Engineering; Industrial Economics - 912.2 Management - 921.6 Numerical Methods",,,,,"Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
"Feature level fusion using palmprint and finger geometry based on Canonical Correlation Analysis","20104613374275","Yu, Pengfei (1); Xu, Dan (1); Zhou, Hao (1) ","(1) School of Information, Yunnan University, Kunming, China ","Yu, P.(pfyu@ynu.edu.cn) ","ICACTE 2010 - 2010 3rd International Conference on Advanced Computer Theory and Engineering, Proceedings","ICACTE - Int. Conf. Adv. Comput. Theory Eng., Proc.","","IEEE Computer Society","5","","V5260-V5264","2010","ICACTE 2010 - 2010 3rd International Conference on Advanced Computer Theory and Engineering, Proceedings","","2010","English","","","","9781424465408","10.1109/ICACTE.2010.5579795","5579795","","","","","","Conference article (CA)","Canonical Correlation Analysis (CCA) is a standard tool in statistical analysis that measures the linear relationship between two data sets. In this paper, we present a multibiometric approach which combines palm print feature and finger geometry feature based on Canonical Correlation Analysis. First, we use linear discriminant analysis (LOA) to build the palm print feature. Second, the geometry feature of the middle finger is extracted. Then, these two features are fused by CCA to form a combined feature which is applied to denote the identity of a person. This method makes it possible to fuse these features mentioned above together and decrease the dimension of the fusion feature. The results of experiments conducted on a database of 86 hands (10 impressions per hand) show that the CCA-based feature level fusion method has good performance. © 2010 IEEE.","13","Speech recognition","Anthropometry - Correlation methods - Discriminant analysis - Geometry","Canonical correlation analysis - Combined features - Feature fusion - Feature level fusion - Geometry features - Linear discriminant analysis - Linear relationships - Palmprints","461.3 Biomechanics, Bionics and Biomimetics - 751.5 Speech - 921 Mathematics - 922 Statistical Methods - 922.2 Mathematical Statistics",,,,,"Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
"Price-oriented trading optimization for grid resource","20095112557219","Li, Hao (1); Tang, Guo (1); Guo, Wei (1); Sun, Changyan (1); Yao, Shaowen (1) ","(1) School of Software, Yunnan University, Kunming, China ","Li, H.(Lihao707@ynu.edu.cn) ","Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics)","Lect. Notes Comput. Sci.","","Springer Verlag","5931 LNCS","","650-655","2009","Cloud Computing - First International Conference, CloudCom 2009, Proceedings","","2009","English","03029743","16113349","3642106641","9783642106644","10.1007/978-3-642-10665-1_67","","1st International Conference on Cloud Computing, CloudCom 2009","December 1, 2009 - December 4, 2009","Beijing, China","78880","","Conference article (CA)","The resources in the Grid are heterogeneous and geographically distributed. Availability, usage and cost policies vary depending on the particular user, time, priorities and goals. Quality of service (QoS) in grid cannot be guaranteed. This article proposes a computational economy as an effective metaphor for the management of resources and application scheduling. It proposes a QoS-based grid banking model. The model is divided into the application- layer, virtual organization (VO) layer, and the physical resources and facilities layer. At each layer, the consumer agent, service agent, and resource provider agent optimize the multi-dimensionality QoS resources respectively. The optimization is under the framework of the grid banking model and the hierarchical constraints in their respective conditions so that it can maximize the function. The optimization algorithm is price-oriented constant iteration at all levels. © 2009 Springer-Verlag.","11","Quality of service","Cloud computing - Costs - Iterative methods - Optimization - Scheduling - Structural optimization","Application scheduling - Computational economy - Hierarchical structures - Multidimensionality - Optimization algorithms - Price - Trading optimizations - Virtual organization","722.4 Digital Computers and Systems - 911 Cost and Value Engineering; Industrial Economics - 912.2 Management - 921.5 Optimization Techniques - 921.6 Numerical Methods",,,,,"Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
"Positive eigenvector of nonlinear perturbations of nonsymmetric M-matrix and Newton iterative solution","20082011253346","Li, Yao-tang (1); Wu, Shi-liang (1); Liu, Da-ping (1) ","(1) Department of Mathematics, Yunnan University, Kunming, Yunnan 650091, China ","Li, Y.-t.(Liyaotang@ynu.edu.cn) ","Applied Mathematics and Computation","Appl. Math. Comput.","","Elsevier Inc., 360 Park Avenue South, New York, NY 10010, United States","200","1","308-320","June 15, 2008","","","2008","English","00963003","","","","10.1016/j.amc.2007.11.008","","","","","","AMHCBQ","Journal article (JA)","Positive eigenvector of nonlinear perturbations of nonsymmetric M-matrix and its Newton iterative solution are studied. It is shown that any number greater than the smallest positive eigenvalue of the M-matrix is an eigenvalue of the nonlinear problem and that the corresponding positive eigenvector is unique and the Newton iteration of the positive eigenvector is convergent. Moreover, such positive eigenvectors form a monotone increasing and continuous function of the corresponding eigenvalues. © 2007 Elsevier Inc. All rights reserved.","12","Eigenvalues and eigenfunctions","Function evaluation - Iterative methods - Matrix algebra - Perturbation techniques - Problem solving","Eigenvalues - Newton iterative solution - Nonlinear perturbation","921.1 Algebra - 921.6 Numerical Methods","Theoretical (THR)",,,,"Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
"Corrosion inhibition mechanism of tween-60 for cold rolled steel in hydrochloric acid solution","2006069686588","Mu, Guannan (1); Li, Xianghong (1); Qu, Qing (1); Zhou, Jun (1) ","(1) Department of Chemistry, Yunnan University, Kunming 650091, China ","Mu, G.(guannan@public.km.yn.cn) ","Huagong Xuebao/Journal of Chemical Industry and Engineering (China)","Huagong Xuebao","","Chemical Industry Press","56","11","2150-2156","November 2005","","","2005","Chinese","04381157","","","","","","","","","","HUKHAI","Journal article (JA)","The inhibition effect of tween-60 on the corrosion of cold rolled steel (CRS) in 1.0-8.0 mol&middotL-1 hydrochloric acid was studied with the mass loss method and potentiodynamic polarization method. The results showed that tween-60 was a good inhibitor in 1.0 mol&middotL-1 HCl. Inhibition efficiency increased with increasing inhibitor concentration and the maximum inhibition efficiency was 91.2% at 30°C even when inhibitor concentration is low. However, inhibition efficiency decreased with increasing hydrochloric acid concentration and temperature. Polarization curves showed that tween-60 was a mixed-type inhibitor in hydrochloric acid, and apparently inhibited iron's cathodic reaction. The experimental data were treated with adsorption theory and kinetic equations. Both the thermodynamic and kinetic parameters could be obtained. The thermodynamic results showed that the adsorption of tween-60 on the cold rolled steel surface obeyed the Langmuir adsorption isotherm equation. Furthermore, the adsorption process was a spontaneous and exothermic process accompanied by a decrease in entropy. The kinetic results showed that the rate constant (k) decreased obviously after adding tween-60 in HCl solutions, while the kinetic reaction constant (B) increased. The values of both apparent activation energy (Ea) and pre-exponential factor (A) increased in inhibited hydrochloric acid solution. The inhibitive mechanism was mostly decided by the apparent activation energy.","19","Steel corrosion","Activation energy - Adsorption - Cold rolling - Hydrochloric acid - Steel sheet - Thermodynamics","Apparent activation energy - Cold rolled steel (CRS) - Corrosion inhibition mechanism - Inhibitor - Mass loss method - Potentiodynamic polarization method - Tween-60","535.1.2 Rolling Mill Practice - 539.1 Metals Corrosion - 545.3 Steel - 641.1 Thermodynamics - 802.3 Chemical Operations - 804.2 Inorganic Compounds","Applications (APP); Experimental (EXP)",,,,"Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
"Improvements of preconditioned AOR iterative method for L-matrices","20072310641787","Li, Yao-tang (1); Li, Cui-xia (1); Wu, Shi-liang (1) ","(1) Department of Mathematics, Yunnan University, Kunming, Yunnan 650091, China ","Li, Y.-t.(Liyaotang@ynu.edu.cn) ","Journal of Computational and Applied Mathematics","J. Comput. Appl. Math.","","Elsevier, P.O. Box 211, Amsterdam, 1000 AE, Netherlands","206","2","656-665","September 15, 2007","","","2007","English","03770427","","","","10.1016/j.cam.2006.08.019","","","","","","","Journal article (JA)","In this paper, we improve the preconditioned AOR method of linear systems considered by Evans et al. [The AOR iterative method for new preconditioned linear systems, Comput. Appl. Math. 132 (2001) 461-466]. In Evans' paper, the coefficient matrix of linear system have to be an L-matrix with ai, i + 1 ai + 1, i > 0, i = 1, ..., n - 1 and 0 1 n an 1 i, i + 1 ai + 1, i = 0 for some i ∈ N = { 1, ..., n - 1 }, the preconditioned method is invalid. In order to solve the above problem, a new preconditioner is presented. Meanwhile, some recent results are improved. © 2006 Elsevier B.V. All rights reserved.","4","Iterative methods","Linear matrix inequalities - Linear systems - Problem solving","AOR iteration - L-matrix - Preconditioner","723.4 Artificial Intelligence - 921.1 Algebra - 921.6 Numerical Methods - 961 Systems Science","Theoretical (THR)",,,"Open Access","Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
"Effects of neutron irradiation at the interface of TiO2 film on Si substrate","2005078835009","Zeng, L. (1); Zhang, X. (1); Kong, F.Q. (1); Zhang, J. (1) ","(1) Dept. of Physics, Yunnan University, Kunming, China ","Zeng, L. ","IEEE International Conference on Plasma Science","IEEE Int Conf Plasma Sci","IEEE Nuclear and Plasma Sciences Society; Army Research Office; Air Force Office of Research; Defense Threat Reduction Agency; Alameda Applied Sciences Corporation","Institute of Electrical and Electronics Engineers Inc.","","","288","2004","IEEE Conference Record - Abstracts: The 31st IEEE International Conference on Plasma Science, ICOPS2004","","2004","English","07309244","","","","","4P26","IEEE Conference Record - Abstracts: The 31st IEEE International Conference on Plasma Science, ICOPS2004","June 28, 2004 - July 1, 2004","Baltimore, MD, United states","63573","85PSAO","Conference article (CA)","TiO2 films on Si(111) substrate were prepared by D.C. reaction sputter deposition followed by Ar+ ion beam bombardment. A layer-like structure with 2MeV neutrons irradiation to a dose of 10 17-1019 cm-2 was observed at the interface between TiO2 film and Si substrate with Scanning Electron Microscope and Electron Probe. The layer-like structure is a multi-layer structure consisting of bright and dark layers with different compositions. Ti element was detected at the deeper area about 15μm below surface. Defect diffusion, impurity and matrix relocation could be responsible for formations of the multi-layer structure and caused broadening of the TiO2-Si interface.",,"Metallic films","Diffusion - Ion beams - Ion bombardment - Multilayers - Neutron irradiation - Scanning electron microscopy - Silicon - Sputter deposition - Titanium dioxide","Defect diffusion - Electron probes - Matrix relocation","933.1 Crystalline Solids - 932.1 High Energy Physics - 931.3 Atomic and Molecular Physics - 931.2 Physical Properties of Gases, Liquids and Solids - 931.1 Mechanics - 804.2 Inorganic Compounds - 549.3 Nonferrous Metals and Alloys excluding Alkali and Alkaline Earth Metals - 539.3 Metal Plating - 531 Metallurgy and Metallography","Experimental (EXP)",,,,"Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
"The effects of time delay on the decline and propagation processes of population in the Malthus-Verhulst model with cross-correlated noises","20095312586431","Cai, J.C. (1); Mei, D.C. (1) ","(1) Department of Physics, Yunnan University, Kunming 650091, China ","Cai, J. C. ","European Physical Journal B","Eur. Phys. J. B","","Springer New York LLC","72","4","607-618","December 2009","","","2009","English","14346028","14346036","","","10.1140/epjb/e2009-00388-7","","","","","","","Journal article (JA)","The effects of time delay on the decline and propagation processes of population in the Malthus-Verhulst model with cross-correlated noises are investigated separately. Through numerically computing and stochastically simulating, we find that: (i) inclusion of time delay in the decline process, increasing the delay time τ weakens the stability of population with short delay and strengthens it with long delay. The stability of population reduces monotonically as the cross-correlated intensity λ increasing. The population of a species goes to extinction with increasing τ and increasing λ; (ii) inclusion of time delay in the propagation process, the increasing τ strengthens the stability of population and the increasing λ weakens it. The increasing τ slows down the growth process of a species while the increasing λ speeds it up. That is, the increasing delay time does not affect roughly the stability of population with short delay but strengthens it with long delay, and the population of species is restricted in the lower level by the larger delay time. The stability of population is weakened and the replacement of old individuals with young ones is accelerated by the increasing cross-correlation intensity between two noises. © 2009 EDP Sciences, SIF, Springer-Verlag Berlin Heidelberg.","59","Population statistics","Stability - Time delay - Timing circuits - White noise","Cross-correlated noise - Cross-correlation intensity - Delay Time - Growth process - Long delays - Malthus - Propagation process - Verhulst model","713 Electronic Circuits - 713.4 Pulse Circuits",,,,,"Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
"Broadening free spectral range of an evanescent-wave pumped Whispering-Gallery-Mode fibre laser by Vernier effect","20111913965900","Zhou, Li (1); You, Hong-Hai (1); Pu, Xiao-Yun (1) ","(1) Department of Physics, Yunnan University, Kunming, Yunnan 650091, China ","Pu, X.-Y.(xypu@ynu.edu.cn) ","Optics Communications","Opt Commun","","Elsevier, P.O. Box 211, Amsterdam, 1000 AE, Netherlands","284","13","3387-3390","June 15, 2011","","","2011","English","00304018","","","","10.1016/j.optcom.2011.03.040","","","","","","OPCOB8","Journal article (JA)","Evanescent-wave pumping scheme has been successfully used to excite Whispering-Gallery-Mode fibre laser. The free spectral range of the lasing spectrum from a single optical fibre is found to be very narrow, to increase the free spectral range, a coupled cylinder-cavity structure has been fabricated by binding two bare optical fibres together, based on Vernier effect, the free spectral range of the coupled cylinder-cavity structure has been effectively broadened over 15 times compared with that of a single optical fibre. The measured free spectral ranges for both coupled cylinder-cavity structure and the single optical fibre are consistent with theoretical prediction. © 2011 Elsevier B.V. All rights reserved.","16","Fibers","Cylinders (shapes) - Optical fibers - Pumping (laser)","Evanescent-wave - Fibre laser - Free spectral range - Vernier effect - Whispering gallery modes","408.2 Structural Members and Shapes - 741.1.2 Fiber Optics - 744.1 Lasers, General - 812 Ceramics, Refractories and Glass - 817 Plastics and Other Polymers: Products and Applications",,,,,"Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
