Title,Accession number,Author,Author affiliation,Corresponding author,Source,Abbreviated source title,Sponsor,Publisher,Volume,Issue,Pages,Issue date,Monograph title,Part number,Publication year,Language,ISSN,E-ISSN,ISBN13,DOI,Article number,Conference name,Conference date,Conference location,Conference code,CODEN,Document type,Abstract,Abstract type,Number of references,Main heading,Controlled/Subject terms,Uncontrolled terms,Classification code,Treatment,Funding details,Funding text,Access type,Database,Copyright,Data Provider
"An image scrambling algorithm using discrete Henon map","20161102092808","Ping, Ping (1); Mao, Yingchi (1); Lv, Xin (1); Xu, Feng (1); Xu, Guoyan (1) ","(1) College of Computer and Information, Hohai University, Nanjing, China ","","2015 IEEE International Conference on Information and Automation, ICIA 2015 - In conjunction with 2015 IEEE International Conference on Automation and Logistics","IEEE Int. Conf. Inf. Autom., ICIA - conjunction IEEE Int. Conf. Autom. Logist.","CAS Shenzhen Institute of Advanced Technology; Harbin Institute of Technology Shenzhen Graduate School; HIT State Key Laboratory of Robotics and Systems; IEEE Robotics and Automation Society; Shanghai Gaitech Scientific Instruments Co., Ltd.; The Chinese University of Hong Kong","Institute of Electrical and Electronics Engineers Inc.","","","429-432","September 28, 2015","2015 IEEE International Conference on Information and Automation, ICIA 2015 - In conjunction with 2015 IEEE International Conference on Automation and Logistics","1of1","2015","English","","","9781467391047","10.1109/ICInfA.2015.7279326","7279326","2015 IEEE International Conference on Information and Automation, ICIA 2015 - In conjunction with 2015 IEEE International Conference on Automation and Logistics","August 8, 2015 - August 10, 2015","Yunnan, China","116345","","Conference article (CA)","Image scrambling is an important approach to cover image information. This paper presents a novel image scrambling algorithm based on two-dimensional discrete Henon map. In our algorithm, the parameters of Henon map are regarded as the key of scrambling, and image pixels are scrambled by iteration of the Henon map. The numerical experimental results show that the proposed algorithm has quite prominent cryptographic properties including large key space, high gray scrambling degree, and a good ability of resisting noise attack. © 2015 IEEE.","","13","Iterative methods","Automation - Cryptography","Cover-image - Cryptographic properties - Henon map - Image pixels - Image scrambling - Numerical experimental","731 Automatic Control Principles and Applications - 921.6 Numerical Methods",,,,,"Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
"Stock trend analysis based on feature rank by partial least squares","20161102092931","Zhu, Zhibo (1); Peng, Qinke (1); Sun, Shiquan (1); Li, Zhi (1) ","(1) Systems Engineering Institute, Xi'An Jiaotong University, Xi'an; 710049, China ","","2015 IEEE International Conference on Information and Automation, ICIA 2015 - In conjunction with 2015 IEEE International Conference on Automation and Logistics","IEEE Int. Conf. Inf. Autom., ICIA - conjunction IEEE Int. Conf. Autom. Logist.","CAS Shenzhen Institute of Advanced Technology; Harbin Institute of Technology Shenzhen Graduate School; HIT State Key Laboratory of Robotics and Systems; IEEE Robotics and Automation Society; Shanghai Gaitech Scientific Instruments Co., Ltd.; The Chinese University of Hong Kong","Institute of Electrical and Electronics Engineers Inc.","","","3003-3008","September 28, 2015","2015 IEEE International Conference on Information and Automation, ICIA 2015 - In conjunction with 2015 IEEE International Conference on Automation and Logistics","1of1","2015","English","","","9781467391047","10.1109/ICInfA.2015.7279803","7279803","2015 IEEE International Conference on Information and Automation, ICIA 2015 - In conjunction with 2015 IEEE International Conference on Automation and Logistics","August 8, 2015 - August 10, 2015","Yunnan, China","116345","","Conference article (CA)","Time series analysis, an important domain of machine learning and data mining, has attracted much research interest in the previous decade. Part of the research efforts have focused on analyzing stock data, which is a major application of time series analysis. However stock data is always considered as a unidimensional sequence in recent research lacking of the whole market perspective. This paper regards the stock data as a multi-dimensional time series and proposes a novel method of stock trend analysis based on feature reduction method. By taking advantage of the partial least squares, we rank the dimensions of stock data firstly. Then a feature selection algorithm based on the dimension rank is developed referring to the wrapper algorithm. Finally the algorithm is utilized to analyze the stock trend in both single stock and the whole market perspectives on the real stock data. Experimental results show the potential of the feature reduction based trend analysis method of multi-dimensional series, which performs better to the unidimensional-based methods and obtains the global information from the whole market view. © 2015 IEEE.","","25","Time series analysis","Automation - Commerce - Data mining - Harmonic analysis - Learning systems - Least squares approximations","Feature reduction - Multi dimensions - Partial least square (PLS) - Trend analysis - Whole market view","723.2 Data Processing and Image Processing - 731 Automatic Control Principles and Applications - 921.6 Numerical Methods - 922.2 Mathematical Statistics",,,,,"Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
"Multi-band CPW-fed planar monopole antenna with M-shaped strip for WLAN/WiMAX","20140417228919","Wang, Mao-Wen (1, 2); Guo, Bao-Ping (1, 2) ","(1) School of Information Engineering, Shenzhen University, Shenzhen, China (2) Key Laboratory of Optoelectronic Devices and Systems of Ministry of Education and Guangdong Province, Shenzhen University, Shenzhen, China ","","2013 IEEE International Conference on Signal Processing, Communications and Computing, ICSPCC 2013","IEEE Int. Conf. Signal Process., Commun. Comput., ICSPCC","'IEEE Xi'an'; IEEE Hong Kong Section","IEEE Computer Society","","","","2013","2013 IEEE International Conference on Signal Processing, Communications and Computing, ICSPCC 2013","","2013","English","","","9781479910274","10.1109/ICSPCC.2013.6664045","6664045","2013 IEEE International Conference on Signal Processing, Communications and Computing, ICSPCC 2013","August 5, 2013 - August 8, 2013","Kunming, Yunnan, China","101981","","Conference article (CA)","A compact tri-band coplanar waveguide (CPW)-fed planar monopole antenna is proposed for wireless local area network (WLAN) and worldwide interoperability for microwave access (WiMAX) applications. By inserting a modified M-shaped strip on the top of the radiation patch, multiple impedance bandwidths covering 2.4/5.2/5.8 GHz WLAN and 3.5/5.5 GHz WiMAX bands are obtained. A fabricated prototype for the proposed tri-band antenna has compact dimensions of 33 × 24 mm2. Moreover, the antenna shows monopole-like radiation patterns and stable antenna gains across the three operating bands. © 2013 IEEE.","","10","Monopole antennas","Antenna feeders - Channel estimation - Coplanar waveguides - Directional patterns (antenna) - Electric impedance - Interoperability - Microstrip antennas - Microwave antennas - Signal processing - Wimax - Wireless local area networks (WLAN)","Compact dimensions - Coplanar waveguide (CPW)fed - Impedance bandwidths - Multiband - Operating bands - Planar monopole antenna - Tri-band antennas - WLAN","701.1 Electricity: Basic Concepts and Phenomena - 714.3 Waveguides - 716 Telecommunication; Radar, Radio and Television - 716.1 Information Theory and Signal Processing",,,,,"Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
"A novel cross-layer dynamic probabilistic broadcasting algorithm for ad hoc networks","20140417228814","Qian, Qi (1); Hang, Chen (1); Qingwen, Wang (2); Haoshan, Shi (3) ","(1) School of MarineTechnology, Northwestern Polytechnical University, Xi'an, China (2) Staff Office 701, Xi'an Research Institute of High Technology, Xi'an, China (3) School of Electronic Engineering, Northwestern Polytechnical University, Xi'an, China ","","2013 IEEE International Conference on Signal Processing, Communications and Computing, ICSPCC 2013","IEEE Int. Conf. Signal Process., Commun. Comput., ICSPCC","'IEEE Xi'an'; IEEE Hong Kong Section","IEEE Computer Society","","","","2013","2013 IEEE International Conference on Signal Processing, Communications and Computing, ICSPCC 2013","","2013","English","","","9781479910274","10.1109/ICSPCC.2013.6663940","6663940","2013 IEEE International Conference on Signal Processing, Communications and Computing, ICSPCC 2013","August 5, 2013 - August 8, 2013","Kunming, Yunnan, China","101981","","Conference article (CA)","To solve the broadcast storm issue encountered by the blind flooding, a novel cross-layer dynamic probabilistic broadcasting algorithm (CDPBA) for ad hoc networks is proposed. CDPBA adopts the cross-layer design, which let routing layer share the received signal power at MAC layer while still maintaining separation between the two layers. The received signal power is applied to calculate the rebroadcast probability at the routing layer to reduce the redundant retransmission and the chance of the contention and collision in the networks. Our extensive simulation results by ns-2 have shown that CDPBA performs significantly better than blind flooding+802.11 and fixed probabilistic flooding+802.11. © 2013 IEEE.","","12","Mobile ad hoc networks","Broadcasting - Floods - Oil well flooding - Signal processing","Broadcast storm - Cross-layer design - Extensive simulations - Probabilistic broadcasting - Probabilistic flooding - Received signals - Retransmissions - Routing layers","511.1 Oil Field Production Operations - 716.1 Information Theory and Signal Processing - 723 Computer Software, Data Handling and Applications",,,,,"Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
"Proceeding of 2012 International Conference on Information Management, Innovation Management and Industrial Engineering, ICIII 2012","20125015783098","",,"","Proceeding of 2012 International Conference on Information Management, Innovation Management and Industrial Engineering, ICIII 2012","Proc. Int. Conf. Inf. Manage., Innov. Manage. Ind. Eng., ICIII","","IEEE Computer Society, 2001 L Street N.W., Suite 700, Washington, DC 20036-4928, United States","2","","","2012","Proceeding of 2012 International Conference on Information Management, Innovation Management and Industrial Engineering, ICIII 2012","2 of 3","2012","English","","","9781467319324","","","2012 International Conference on Information Management, Innovation Management and Industrial Engineering, ICIII 2012","October 20, 2012 - October 21, 2012","Sanya, China","94227","","Conference proceeding (CP)","The proceedings contain 399 papers. The topics discussed include: orthonormal wavelet-based contourlet transform coding using an EBCOT-like algorithm; empirical research on interaction between electronic commerce adoption and effect evaluation in China SMEs; recommended cultural and business practices for project based software organization of Pakistan for supporting restructuring of functional organization for implementing agile based development framework in software projects; application of Monte-Carlo method in quantitative risk analysis for research project; positive analysis on the relationship between fixed assets investment and business income of the telecommunication; a hybrid strategy for the quadratic assignment problem; pricing options in a mixed fractional double exponential jump-diffusion model with stochastic volatility and interest rates; and mechanism research on influencing factors of collaborative innovation effectiveness of Yunnan university research team.","(Edited Abstract)",,,,,,,,,,"Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
"Non-photorealistic Tour into Panorama","2005399381505","Zhao, Yang (1); Zhang, Ya-Ping (1); Xu, Dan (1) ","(1) Department of Computer Science and Engineering, Yunnan University, Kunming 650091, China ","Zhao, Y.(bootcool@163.com) ","Lecture Notes in Computer Science","Lect. Notes Comput. Sci.","Institute of High Performance Computing, IHPC; University of Perugia, Italy; University of Calgary, Canada; University of Minnesota, MN, USA; Queen's University Belfast","Springer Verlag","3482","III","274-283","2005","Computational Science and Its Applications - ICCSA 2005: International Conference, Proceedings","3 of 4","2005","English","03029743","","","","","International Conference on Computational Science and Its Applications - ICCSA 2005","May 9, 2005 - May 12, 2005","Singapore","65625","","Conference article (CA)","In this paper, we describe a system NP-TIP (Non-Photorealistic Tour Into Panorama). It provides a simple non-photorealistic scene model in which users can freely walk through and obtain enjoyable and real-time artistic experience. In NP-TIP, firstly we design a new algorithm for fast converting a photo or image to a synthesized painting following the painting style of an example image. By treating painting styles as sample textures, we reduce the problem of learning an example painting to that of texture synthesis, which improves the speed of non-photorealistic rendering. Secondly, we propose a new modeling scheme for TIP based on the cubic panorama, which not only overcomes the disadvantage of fixed viewpoint in browsing panorama, but also models easily and computes simply. According to users' selection from example paintings of different artistic style, NP-TIP can provide stylized interactive and real-time panoramic walkthrough of scenes. © Springer-Verlag Berlin Heidelberg 2005.","","14","Real time systems","Algorithms - Computational methods - Interactive computer systems - Painting - Photographic films","Computational science - Non-photorealistic rendering - Non-photorealsistic tour into panorama (NP-TIP) - Real-time panorama","721.1 Computer Theory, Includes Formal Logic, Automata Theory, Switching Theory, Programming Theory - 722.4 Digital Computers and Systems - 723 Computer Software, Data Handling and Applications - 742.3 Photographic Materials and Chemicals - 813.1 Coating Techniques - 921 Mathematics","Theoretical (THR)",,,,"Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
"Packet delay analysis of continuous-time polling system with M-gated services","20103713230548","Hongwei, Ding (1); Dongfeng, Zhao (1); Yifan, Zhao (2); Xiaohui, Ma (2) ","(1) Department of Communication Engineering, Yunnan University, Kunming, Yunnan Province, China (2) School of Information, Yunnan University, Huaguoshan, Jileshijie Province, China ","Hongwei, D.(dhw1964@yahoo.cn) ","CCTAE 2010 - 2010 International Conference on Computer and Communication Technologies in Agriculture Engineering","CCTAE - Int. Conf. Comput. Commun. Technol. Agric. Eng.","et. al.; International Communication Sciences Association, (ICSA); Nanchang University; Southwestern University of Finance and Economics; Wuhan Institute of Technology; Yangzhou University","IEEE Computer Society","3","","408-411","2010","CCTAE 2010 - 2010 International Conference on Computer and Communication Technologies in Agriculture Engineering","","2010","English","","","9781424469451","10.1109/CCTAE.2010.5543298","5543298","2010 International Conference on Computer and Communication Technologies in Agriculture Engineering, CCTAE 2010","June 12, 2010 - June 13, 2010","Chengdu, China","81623","","Conference article (CA)","This paper proposed a novel analytical model of the polling MAC protocol using M-gated services in continuous time. By the imbedded Markov chain theory, the generating functions of queue length at server arrival epoch is obtained. Also, the Laplace-Stieltjes transform (LST) of packet delay distribution function is derived. Then computational equations are explicitl determined for the mean queue length and the mean packet delay. Through analysis of the mechanism of the polling model, its control values of the M-gated service and the related properties have been obtained. Meanwhile, the basic polling systems using gated service and exhaustive service have been improved. The polling MAC control protocol in the application is more effective. © 2010 IEEE.","","10","Continuous time systems","Agriculture - Computation theory - Distribution functions - Markov processes - Medium access control - Queueing theory","Computational equations - Gated services - Generating functions - Laplace stieltjes transform (LST) - Packet delay - Packet delay distribution - Polling system - Queue lengths","721.1 Computer Theory, Includes Formal Logic, Automata Theory, Switching Theory, Programming Theory - 723 Computer Software, Data Handling and Applications - 821 Agricultural Equipment and Methods; Vegetation and Pest Control - 922.1 Probability Theory - 961 Systems Science",,,,,"Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
"Analysis of polling system with multiple vacations and using exhaustive service","20102012942736","Ding, Hongwei (1); Zhao, Dongfeng (1); Zhao, Yifan (2) ","(1) Department of Communication Engineering, Yunnan University, Kunming Yunan, China (2) Information School, Yunnan University, Kunming Yunan, China ","Ding, H.(dhw1964@yahoo.cn) ","CICC-ITOE 2010 - 2010 International Conference on Innovative Computing and Communication, 2010 Asia-Pacific Conference on Information Technology and Ocean Engineering","CICC-ITOE - Int. Conf. Innovative Comput. Commun., Asia-Pac. Conf. Inf. Technol. Ocean Eng.","et al.; Huazhong Normal University; Intelligent Inf. Technol. Appl. Res. Assoc. (IITA Assoc.); Nanchang University; Optical Valley Software Park; Wuhan University","IEEE Computer Society","","","294-296","2010","CICC-ITOE 2010 - 2010 International Conference on Innovative Computing and Communication, 2010 Asia-Pacific Conference on Information Technology and Ocean Engineering","","2010","English","","","9780769539423","10.1109/CICC-ITOE.2010.81","5439231","2010 International Conference on Innovative Computing and Communication, 2010 Asia-Pacific Conference on Information Technology and Ocean Engineering, CICC-ITOE 2010","January 30, 2010 - January 31, 2010","Macao, China","80330","","Conference article (CA)","In this paper we consider the polling system with multiple vacations using exhaustive service. By the imbedded Markov chain theory, the generating functions of queue length at the station is obtained. Then computational equations are explicitly determined for the mean queue length and the mean waiting time of information packet. Especially we obtain some corresponding results under some especial cases. The results are verified through extensive simulations. © 2010 IEEE.","","16","Computation theory","Electric substations - Markov processes - Ocean engineering - Queueing theory","Exhaustive service - Mean queue lengths - Mean waiting time - Multiple vacations - Polling system","472 Ocean Engineering - 706.1 Electric Power Systems - 721.1 Computer Theory, Includes Formal Logic, Automata Theory, Switching Theory, Programming Theory - 922.1 Probability Theory",,,,,"Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
"False signal rates for the (X over-bar ) control charts with runs tests when process parameters are estimated","20064310200145","Yang, C. ; Tse, S.-K. ; Li, G. ","(1) Department of Statistics, Yunnan University, Kunming, China (2) Department of Management Sciences, City University of Hong Kong, Kowloon, Hong Kong (3) Institute of Systems Science, AMSS, Chinese Academy of Sciences, Beijing, China (4) Department of Statistics, Yunnan University, 2 Green Lake North Road, Kunming 650091, China ","","Communications in Statistics: Simulation and Computation","Commun. Stat. Simul. Comput.","","Taylor and Francis Inc., Philadelphia PA, United States","35","4","1045-1056","Dec 1 2006","","","2006","English","03610918","15324141","","10.1080/03610910600880583","","","","","","","Journal article (JA)","This article investigates the effect of the size of the preliminary samples on the false signal rate (FSR) for the control chart with supplementary rules when the process parameters are unknown and the control limits have to be estimated. The conditional probability method is used to derive the analytical formulae for computing the FSR. Numerical results are presented and discussed. Suggestions are given to practitioners in designing and using the control chart with supplementary rules.","","12",,,,,,"Number: -, Acronym: -, Sponsor: Joint Research Fund for Overseas Chinese Scholars and Scholars in Hong Kong and Macao; ","The authors thank the editor and the two referees for helpful comments on the earlier version of this article. The project is partially sponsored by the Scientific Research Foundation for the Returned Overseas Chinese Scholars, State Education Ministry, P. R. China.",,"Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
"Existence and approximation of solutions to variational inclusions with accretive mappings in Banach spaces","2002116885787","Zhang, Shi-Sheng (1, 2) ","(1) Department of Mathematics, Yunnan Normal University, Kunming 650092, China (2) Department of Mathematics, Sichuan University, Chengdu 610064, China ","Zhang, S.-S. ","Applied Mathematics and Mechanics (English Edition)","Appl Math Mech Engl Ed","","Shanghai University","22","9","997-1003","September 2001","","","2001","English","02534827","","","10.1023/A:1016352023436","","","","","","AMMEEQ","Journal article (JA)","The purpose is to study the existence and approximation problem of solutions for a class of variational inclusions with accretive mappings in Banach spaces. The results extend and improve some recent results.","","16","Variational techniques","Mathematical techniques","Accretive mapping - Banach spaces - Solutions existence - Variational inclusions","921.2 Calculus","Theoretical (THR)",,,,"Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
"Integration technology of UMS for the advanced aircraft","20084011616197","Guo, Chuang (1); Xu, Haojun (1); Zhao, Kun (1) ","(1) Engineering Institute, Air Force Engineering University, Xi'an 710038, China ","Guo, C.(guochuangdoc@163.com) ","Proceedings of the 27th Chinese Control Conference, CCC","Proc. Chin. Control. Conf., CCC","Chinese Association of Automation; Chinese Association of Automation Kunming Univ. Sci. Technol.; Technical Committee on Control Theory; Yunnan Division","IEEE Computer Society","","","721-724","2008","Proceedings of the 27th Chinese Control Conference, CCC","","2008","Chinese","","","9787900719706","10.1109/CHICC.2008.4605282","4605282","27th Chinese Control Conference, CCC","July 16, 2008 - July 18, 2008","Kunming, Yunnan, China","73759","","Conference article (CA)","It is the development direction that advanced aircraft adopts the utility management system (UMS), Based on in-depth investigation on the system layout, a type of architecture of UMS for the advanced aircraft is put forth, and the typical input and output interface connection and the frame of UMS processor are discussed in the end.","","8","Computer architecture","Aircraft - Architecture","Development directions - Input and outputs - Integration technologies - Processor - System layout - Utility management system - Utility systems","402 Buildings and Towers - 652.1 Aircraft, General",,,,,"Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
"A printed magneto-electric dipole based on substrate integrated gap waveguide","20183205676823","Ma, Chaojun (1); Dong, Ming (1); Shen, Dongya (1) ","(1) Yunnan Eng. Lab. of CWA and Heterogeneous Net., Yunnan University, Kunming; 650091, China ","","2017 IEEE 6th Asia-Pacific Conference on Antennas and Propagation, APCAP 2017 - Proceeding","IEEE Asia-Pacific Conf. Antennas Propag., APCAP - Proceeding","et al.; National Key Laboratory of Antennas and Microwaves; National Key Laboratory of Science and Technology on Test Physics and Numercial Mathematics; National University of Singapore; Southeast University; Xidian University","Institute of Electrical and Electronics Engineers Inc.","","","1-3","July 25, 2018","2017 IEEE 6th Asia-Pacific Conference on Antennas and Propagation, APCAP 2017 - Proceeding","1 of 1","2017","English","","","9781538616086","10.1109/APCAP.2017.8420791","8420791","6th IEEE Asia-Pacific Conference on Antennas and Propagation, APCAP 2017","October 16, 2017 - October 19, 2017","Xi'an, China","138174","","Conference article (CA)","A low-profile printed magneto-electric dipole based on substrate integrated gap waveguide is proposed in this paper. Printed magneto-electric dipole is realized by etching on the exterior metallic layer. Substrate integrated gap waveguide contains three layers of printed circuit board, which feed for electromagnetic dipole by a coplanar strip transition. Simulated results show that a return loss lower than -10dB can be obtained over 22.6GHz to 30.2GHz (28.8%). Meanwhile stable gain of 9.7±0.5dBi and radiation pattern is also obtained. This antenna could be used in 5G millimeter-wave application. © 2017 IEEE.","","4","Substrate integrated waveguides","5G mobile communication systems - Antennas - Directional patterns (antenna) - Millimeter waves - Printed circuit boards","Coplanar strips - Gap waveguides - Low-profile - Magneto-electric dipoles - Metallic layers - Millimeter-wave applications - Simulated results - Three-layer","711 Electromagnetic Waves - 714.3 Waveguides",,,,,"Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
"Approximation algorithm for the energy-aware profit maximizing problem in heterogeneous computing systems","20184706111694","Li, Weidong (1); Liu, Xi (2); Cai, Xiaobo (2); Zhang, Xuejie (2) ","(1) School of Mathematics and Statistics, Yunnan University, Kunming; 650504, China (2) School of Information Science and Engineering, Yunnan University, Kunming; 650504, China ","Zhang, Xuejie(xjzhang@ynu.edu.cn) ","Journal of Parallel and Distributed Computing","J. Parallel Distrib. Comput.","","Academic Press Inc.","124","","70-77","February 2019","","","2019","English","07437315","","","10.1016/j.jpdc.2018.10.013","","","","","","JPDCER","Journal article (JA)","Trade-offs between energy and performance are important for energy-aware scheduling. Recently, a novel model, called energy-aware profit maximizing scheduling problem (EAPM), which combines energy and makespan into the objective of maximizing the profit per unit of time has been proposed. The user pay a given price to have a bag-of-tasks processed and the objective is to maximize the profit per unit time. In this study, we design a polynomial-time algorithm for the EAPM problem. The execution time of our algorithm is polynomial in the number of task types which is an improvement over the previous algorithm, whose execution time is polynomial in the number of tasks. Moreover, we demonstrate that the approximation ratio of our algorithm is close to 2 for a special case, which may be the best result we can obtain. Experimental results show that our algorithm can produce a feasible solution with better objective value than the previous algorithm. © 2018","","28","Approximation algorithms","Economic and social effects - Polynomial approximation - Power management - Profitability - Resource allocation - Scheduling","Approximation ratios - Bag of tasks - Energy-aware scheduling - Heterogeneous computing system - High performance computing - Polynomial-time algorithms - Profit-maximizing problems - Task-scheduling","525.3 Energy Utilization - 911.2 Industrial Economics - 912.2 Management - 921 Mathematics - 921.6 Numerical Methods - 971 Social Sciences",,"Number: -, Acronym: -, Sponsor: Excellent Young Talents Fund Program of Higher Education Institutions of Anhui Province; Number: -, Acronym: YNU, Sponsor: Yunnan University; Number: 61762091, Acronym: NSFC, Sponsor: National Natural Science Foundation of China; Number: 11301466, Acronym: NSFC, Sponsor: National Natural Science Foundation of China; Number: 61662088, Acronym: NSFC, Sponsor: National Natural Science Foundation of China; Number: 2014FB114, Acronym: -, Sponsor: Natural Science Foundation of Yunnan Province; ","We are grateful to the anonymous referees for numerous helpful comments and suggestions which helped to improve the presentation of our work. Partial of the results in this paper appeared as a poster in the proceeding of IEEE/ACM CCGrid  [18] . The work is supported in part by the National Natural Science Foundation of China [Nos. 61662088 , 61762091 , 11301466 ], the Natural Science Foundation of Yunnan Province of China [No. 2014FB114 ], the Program for Excellent Young Talents, Yunnan University , and IRTSTYN .",,"Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
"Preparation of 2D-photonic Crystal Microcavity and Its Light Quantum Enhancement of Silicon Optical Materials","20184806135431","Chen, Dongyang (1, 2); Ouyang, Lingxi (1, 2); Feng, Xiaoxu (1, 2); Rong, Kang (1, 2); Yang, Jie (1); Wang, Chong (1, 2); Yang, Yu (1) ","(1) Yunnan Key Laboratory of Micro & Nano Materials and Technology, Yunnan University, Kunming; 650091, China (2) International Joint Research Center for Optoelectronic Energy Materials, Yunnan University, Kunming; 650091, China ","Wang, Chong(cwang@ynu.edu.cn) ","Cailiao Daobao/Materials Review","Cailiao Daobao/Mater. Rev.","","Cailiao Daobaoshe/ Materials Review","32","7","2189-2194","July 10, 2018","","","2018","Chinese","1005023X","","","10.11896/j.issn.1005-023X.2018.13.008","","","","","","","Journal article (JA)","Photonic crystal can increase light matter interactions and light emission efficiency, and has found extensive application in the fields of nano/micro-optics, quantum optics and information optics, etc. The luminescent enhancement effect of two-dimensional silicon-based photonic crystal microcavities have made significant breakthroughs in recent years. The current preparation method of the two-dimensional photonic crystals and microcavities and the control of their luminescence properties have been discussed. The preparation process of two-dimensional photonic crystal microcavity and the influence of temperature, pump energy and microcavity structure on Q-factor and luminescence properties of microcavity are introduced in detail. Depicts the regulation mechanism of nanocavity structure to luminescence properties of silicon materials, and discusses the problems and prospects of this field. © 2018, Materials Review Magazine. All right reserved.","","50","Photonic crystals","Crystal structure - Light - Luminescence of inorganic solids - Microcavities - Photons - Q factor measurement - Quantum optics - Silicon - Silicon photonics - Spontaneous emission","Light emission efficiency - Light quanta - Light-matter interactions - Luminescence properties - Nano-cavities - Silicon based photonics - Silicon materials - Two-dimensional photonic crystals","549.3 Nonferrous Metals and Alloys excluding Alkali and Alkaline Earth Metals - 711 Electromagnetic Waves - 714 Electronic Components and Tubes - 741.1 Light/Optics - 931.3 Atomic and Molecular Physics - 933.1.1 Crystal Lattice - 942.2 Electric Variables Measurements",,,,,"Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
"A cascaded six order bandpass siw filter using electric and magnetic couplings technology","20183205677081","Dong, Ming (1); Shen, Dongya (1); Ma, Chaojun (1); Zhang, Xiupu (1) ","(1) Yunnan Eng. Lab. of CWA and Heteroge Net., Yunnan University, Kunming; 650091, China ","","2017 IEEE 6th Asia-Pacific Conference on Antennas and Propagation, APCAP 2017 - Proceeding","IEEE Asia-Pacific Conf. Antennas Propag., APCAP - Proceeding","et al.; National Key Laboratory of Antennas and Microwaves; National Key Laboratory of Science and Technology on Test Physics and Numercial Mathematics; National University of Singapore; Southeast University; Xidian University","Institute of Electrical and Electronics Engineers Inc.","","","1-3","July 25, 2018","2017 IEEE 6th Asia-Pacific Conference on Antennas and Propagation, APCAP 2017 - Proceeding","1 of 1","2017","English","","","9781538616086","10.1109/APCAP.2017.8420679","8420679","6th IEEE Asia-Pacific Conference on Antennas and Propagation, APCAP 2017","October 16, 2017 - October 19, 2017","Xi'an, China","138174","","Conference article (CA)","In this paper, a six order bandpass SIW filter is presented which can realize efficiently by using the technology of electric and magnetic couplings. It is made up of a layer substrate. The six order SIW filter is a narrow bandpass microwave filter through electric coupling and magnetic coupling of SIW resonators or cavities. The cascaded resonators of the filter are formed by properly etching the slots on the top metal plane of a SIW cavity. The slots create the electric coupling. The magnetic coupling is formed by period metallic vias in the middle of a SIW cavity. Furthermore, the electric and magnetic couplings achieves two transmission zero points. The electric coupling have influence on the upper transmission zero point, and magnetic coupling have influence on the lower transmission zero point. It is demonstrated that the SIW filter has a bandwidth of 1.5 GHz at a center frequency of 15 GHz. The measured results have a good agreement with the simulated results. © 2017 IEEE.","","9","Magnetic couplings","Bandpass filters - Magnetism - Microwave filters - Microwave resonators - Microwaves","Band pass - Electric coupling - Measured results - Metal plane - Simulated results - SIW filters - Siw resonators - Transmission zeros","602 Mechanical Drives and Transmissions - 701.2 Magnetism: Basic Concepts and Phenomena - 703.2 Electric Filters - 711 Electromagnetic Waves - 714 Electronic Components and Tubes",,,,,"Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
